Project,Supplier,Rating,Delivery_Time,Cost_Variation
Project_01,Supplier_07,3.73,43,-3.48
Project_01,Supplier_05,2.98,59,5.72
Project_01,Supplier_06,4.51,45,0.45
Project_01,Supplier_04,4.87,45,-5.56
Project_01,Supplier_08,4.0,44,14.76
Project_02,Supplier_02,4.0,34,-4.04
Project_02,Supplier_03,2.51,58,2.63
Project_02,Supplier_10,4.31,31,-2.56
Project_02,Supplier_04,1.4,45,-9.73
Project_03,Supplier_05,1.33,14,-2.67
Project_03,Supplier_01,2.31,30,8.81
Project_03,Supplier_02,4.17,48,-7.72
Project_04,Supplier_08,2.4,27,14.22
Project_04,Supplier_01,3.75,53,11.67
Project_04,Supplier_04,4.35,55,7.52
Project_04,Supplier_03,1.29,59,12.3
Project_05,Supplier_04,4.63,54,8.83
Project_05,Supplier_07,2.51,40,2.04
Project_05,Supplier_08,2.51,48,0.61
Project_05,Supplier_02,4.63,48,0.86
Project_06,Supplier_08,4.85,58,-7.93
Project_06,Supplier_10,3.11,15,10.05
Project_06,Supplier_07,4.91,54,-8.92
Project_07,Supplier_01,1.3,56,5.73
Project_07,Supplier_02,3.78,40,14.9
Project_07,Supplier_10,3.79,12,12.53
Project_08,Supplier_01,3.59,17,-1.17
Project_08,Supplier_03,3.33,37,-0.99
Project_08,Supplier_02,2.04,36,7.45
Project_09,Supplier_02,4.64,15,13.74
Project_09,Supplier_03,3.9,56,12.98
Project_09,Supplier_10,1.33,39,11.65
Project_10,Supplier_04,2.51,35,-0.48
Project_10,Supplier_10,4.88,36,4.23
Project_10,Supplier_03,1.25,50,0.37
Project_11,Supplier_09,4.65,32,9.22
Project_11,Supplier_02,4.78,19,-0.55
Project_11,Supplier_08,1.96,18,-6.77
Project_12,Supplier_08,4.09,59,11.3
Project_12,Supplier_03,3.21,14,-7.79
Project_12,Supplier_06,4.17,26,-6.65
Project_12,Supplier_05,1.12,24,9.62
Project_12,Supplier_07,3.56,20,-4.68
Project_13,Supplier_01,2.39,47,1.27
Project_13,Supplier_09,4.64,39,5.55
Project_13,Supplier_04,4.45,14,9.91
Project_13,Supplier_05,2.84,26,2.3
Project_14,Supplier_07,3.15,32,-6.8
Project_14,Supplier_01,1.61,25,6.02
Project_14,Supplier_04,1.73,34,12.42
Project_15,Supplier_08,1.13,15,-6.98
Project_15,Supplier_01,2.84,35,12.36
Project_15,Supplier_06,1.51,35,7.26
Project_15,Supplier_04,1.16,56,5.7
Project_15,Supplier_10,1.33,39,-6.08
Project_16,Supplier_02,2.48,31,-4.1
Project_16,Supplier_07,4.04,23,1.56
Project_16,Supplier_06,3.99,23,-6.31
Project_17,Supplier_04,2.79,44,-0.07
Project_17,Supplier_02,1.42,46,-5.44
Project_17,Supplier_01,3.26,26,-4.71
Project_17,Supplier_05,2.31,53,-4.17
Project_17,Supplier_09,2.37,34,6.98
Project_18,Supplier_08,1.51,50,-1.56
Project_18,Supplier_05,4.6,43,-3.89
Project_18,Supplier_01,2.99,15,5.14
Project_18,Supplier_03,1.95,31,-4.37
Project_18,Supplier_10,2.46,57,-5.98
Project_19,Supplier_04,4.99,15,-0.05
Project_19,Supplier_02,4.88,13,-9.87
Project_19,Supplier_10,4.9,39,-5.73
Project_19,Supplier_05,3.67,11,3.92
Project_19,Supplier_06,3.29,60,10.96
Project_20,Supplier_07,1.46,35,9.19
Project_20,Supplier_02,1.35,20,13.3
Project_20,Supplier_05,2.28,12,-8.7
Project_01,Supplier_06,2.02,46,-9.93
Project_01,Supplier_03,1.47,24,1.79
Project_01,Supplier_09,2.65,39,-7.33
Project_01,Supplier_01,4.4,53,0.21
Project_02,Supplier_07,4.37,17,10.7
Project_02,Supplier_05,4.0,39,10.63
Project_02,Supplier_10,1.75,28,6.63
Project_03,Supplier_06,2.51,60,5.6
Project_03,Supplier_08,3.16,24,4.44
Project_03,Supplier_03,2.42,56,-0.4
Project_03,Supplier_10,3.17,49,-4.27
