Date,Total Individuals in Shelter,Easter,Thanksgiving,Christmas,Temperature
1/5/2014,354354,0,0,0,0.848
1/12/2014,358103,0,0,0,3.257142857
1/19/2014,359491,0,0,0,5.632857143
1/26/2014,362880,0,0,0,-1.85
2/2/2014,364125,0,0,0,1.177142857
2/9/2014,364594,0,0,0,-0.207142857
2/16/2014,365173,0,0,0,-0.738571429
2/23/2014,365443,0,0,0,4.575714286
3/2/2014,365900,0,0,0,0.438571429
3/9/2014,364957,0,0,0,1.845714286
3/16/2014,364796,0,0,0,6.228571429
3/23/2014,365797,0,0,0,5.651428571
3/30/2014,366730,0,0,0,4.988571429
4/6/2014,371283,0,0,0,9.325714286
4/13/2014,367457,0,0,0,12.08571429
4/20/2014,367525,1,0,0,9.847142857
4/27/2014,368179,0,0,0,12.27857143
5/4/2014,368904,0,0,0,13.32285714
5/11/2014,370170,0,0,0,16.26428571
5/18/2014,372382,0,0,0,16.63714286
5/25/2014,373348,0,0,0,18.38714286
6/1/2014,373035,0,0,0,19.25
6/8/2014,373555,0,0,0,21.81142857
6/15/2014,374896,0,0,0,20.76285714
6/22/2014,376352,0,0,0,22.97142857
6/29/2014,377102,0,0,0,24.05142857
7/6/2014,376180,0,0,0,24.86714286
7/13/2014,378753,0,0,0,25.52571429
7/20/2014,381084,0,0,0,24.23
7/27/2014,382252,0,0,0,25.80714286
8/3/2014,382774,0,0,0,24.35571429
8/10/2014,383177,0,0,0,26.63571429
8/17/2014,383477,0,0,0,24.90857143
8/24/2014,384618,0,0,0,24.16
8/31/2014,384947,0,0,0,25.71857143
9/7/2014,386729,0,0,0,27.24571429
9/14/2014,390257,0,0,0,22.83714286
9/21/2014,392718,0,0,0,21.22285714
9/28/2014,393778,0,0,0,21.88857143
10/5/2014,394771,0,0,0,19.71714286
10/12/2014,397088,0,0,0,18.50428571
10/19/2014,399356,0,0,0,19.67285714
10/26/2014,401743,0,0,0,16.07
11/2/2014,402822,0,0,0,14.61857143
11/9/2014,404296,0,0,0,13.58
11/16/2014,407132,0,0,0,10.91
11/23/2014,409236,0,0,0,7.501428571
11/30/2014,409590,0,1,0,9.202857143
12/7/2014,410642,0,0,0,9.451428571
12/14/2014,412545,0,0,0,4.831428571
12/21/2014,412802,0,0,0,5.525714286
12/28/2014,410303,0,0,1,9.67
1/4/2015,407616,0,0,0,4.68
1/11/2015,409244,0,0,0,-0.681428571
1/18/2015,410366,0,0,0,2.64
1/25/2015,410349,0,0,0,2.732857143
2/1/2015,410069,0,0,0,-0.841428571
2/8/2015,408944,0,0,0,1.281428571
2/15/2015,407842,0,0,0,-1.228571429
2/22/2015,407660,0,0,0,-2.91
3/1/2015,406000,0,0,0,-1.48
3/8/2015,405309,0,0,0,1.117142857
3/15/2015,404731,0,0,0,6.192857143
3/22/2015,403677,0,0,0,4.67
3/29/2015,401944,0,0,0,5.022857143
