Project,Insulation Tested,Capacitance,% Power Factor Measured,CF @ 20deg,Corrected Reading,Current,Power,Insulation Rating,Corrective Action
WOTH-001,CHG + CHL,9190,0.0288,0.8,0.0231,3.556,1.024,Investigate,Investigate Cause
WOTH-001,CHG,3826,0.0065,0.8,0.0052,14.81,0.9645,Good,None Required
WOTH-001,CHL,4860,0.002,0.8,0.0016,18.8,0.3804,Good,None Required
WOTH-002,CHG + CHL,3500,0.0031,0.8,0.0025,13.44,0.4176,Good,None Required
WOTH-002,CHG,1342,0.0023,0.8,0.0018,5.172,0.1194,Good,None Required
WOTH-002,CHL,4834,0.0028,0.8,0.0022,18.66,0.5204,Good,None Required
WOTH-003,CHG + CHL,3510,0.0025,0.8,0.002,13.45,0.3399,Good,None Required
WOTH-003,CHG,1311,0.002,0.8,0.0016,5.022,0.1012,Good,None Required
WOTH-003,CHL,4821,0.0024,0.8,0.0019,18.5,0.4432,Good,None Required
WOTH-004,CHG + CHL,4828,0.0031,0.56,0.0017,18.34,0.563,Good,None Required
WOTH-004,CHG,1332,0.0029,0.56,0.0016,5.074,0.147,Good,None Required
WOTH-004,CHL,3509,0.0033,0.56,0.0018,12.79,0.421,Good,None Required
WOTH-005,CHG + CHL,4844,0.0032,0.47,0.0015,18.57,0.591,Good,None Required
WOTH-005,CHG,1350,0.0028,0.47,0.0013,5.247,0.146,Good,None Required
WOTH-005,CHL,3497,0.0034,0.47,0.0015,13.65,0.467,Good,None Required
WOTH-006,CHG + CHL,4848,0.0031,0.44,0.0013,19.27,0.59,Good,None Required
WOTH-006,CHG,1368,0.0061,0.44,0.0027,5.349,0.329,Good,None Required
WOTH-006,CHL,3495,0.0031,0.44,0.0014,13.51,0.422,Good,None Required
WOTH-007,CHG + CHL,4240,0.0037,0.49,0.0018,15.38,0.574,Good,None Required
WOTH-007,CHG,1522,0.0038,0.49,0.0019,5512,0.511,Good,None Required
WOTH-007,CHL,2723,0.0038,0.49,0.0019,9864,0.573,Good,None Required
WOTH-008,CHG + CHL,4291,0.0036,0.56,0.002,15.51,0.552,Good,None Required
WOTH-008,CHG,1490,0.0033,0.56,0.0018,5.39,0.176,Good,None Required
WOTH-008,CHL,2804,0.0038,0.56,0.0021,10.11,0.381,Good,None Required
WOTH-009,CHG + CHL,4130,0.0018,0.645,0.0011,8.162,0.075,Good,None Required
WOTH-009,CHG,1310,0.0019,0.645,0.0012,5.294,0.1,Good,None Required
WOTH-009,CHL,2825,0.0018,0.645,0.0011,11.49,0.204,Good,None Required
WOTH-010,CHG + CHL,4264,0.0026,0.714,0.0018,15.92,0.407,Good,None Required
