Project,Insulation Tested,Capacitance,% Power Factor Measured,CF @ 20deg,Corrected Reading,Current,Power,Insulation Rating,Corrective Action,No. of Workers
WOTH-001,CHG + CHL,9190,0.03,0.8,0.02,3.556,1.024,Investigate,Investigate Cause,2
WOTH-001,CHG,3826,0.01,0.8,0.01,14.81,0.9645,Good,None Required,0
WOTH-001,CHL,4860,0.00,0.8,0.00,18.8,0.3804,Good,None Required,0
WOTH-002,CHG + CHL,3500,0.00,0.8,0.00,13.44,0.4176,Good,None Required,0
WOTH-002,CHG,1342,0.00,0.8,0.00,5.172,0.1194,Good,None Required,0
WOTH-002,CHL,4834,0.00,0.8,0.00,18.66,0.5204,Good,None Required,0
WOTH-003,CHG + CHL,3510,0.00,0.8,0.00,13.45,0.3399,Good,None Required,0
WOTH-003,CHG,1311,0.00,0.8,0.00,5.022,0.1012,Good,None Required,0
WOTH-003,CHL,4821,0.00,0.8,0.00,18.5,0.4432,Good,None Required,0
WOTH-004,CHG + CHL,4828,0.00,0.56,0.00,18.34,0.563,Good,None Required,0
WOTH-004,CHG,1332,0.00,0.56,0.00,5.074,0.147,Good,None Required,0
WOTH-004,CHL,3509,0.00,0.56,0.00,12.79,0.421,Good,None Required,0
WOTH-005,CHG + CHL,4844,0.00,0.47,0.00,18.57,0.591,Good,None Required,0
WOTH-005,CHG,1350,0.00,0.47,0.00,5.247,0.146,Good,None Required,0
WOTH-005,CHL,3497,0.00,0.47,0.00,13.65,0.467,Good,None Required,0
WOTH-006,CHG + CHL,4848,0.00,0.44,0.00,19.27,0.59,Good,None Required,0
WOTH-006,CHG,1368,0.01,0.44,0.00,5.349,0.329,Good,None Required,0
WOTH-006,CHL,3495,0.00,0.44,0.00,13.51,0.422,Good,None Required,0
WOTH-007,CHG + CHL,4240,0.00,0.49,0.00,15.38,0.574,Good,None Required,0
WOTH-007,CHG,1522,0.00,0.49,0.00,5512,0.511,Good,None Required,0
WOTH-007,CHL,2723,0.00,0.49,0.00,9864,0.573,Good,None Required,0
WOTH-008,CHG + CHL,4291,0.00,0.56,0.00,15.51,0.552,Good,None Required,0
WOTH-008,CHG,1490,0.00,0.56,0.00,5.39,0.176,Good,None Required,0
WOTH-008,CHL,2804,0.00,0.56,0.00,10.11,0.381,Good,None Required,0
WOTH-009,CHG + CHL,4130,0.00,0.645,0.00,8.162,0.075,Good,None Required,0
WOTH-009,CHG,1310,0.00,0.645,0.00,5.294,0.1,Good,None Required,0
WOTH-009,CHL,2825,0.00,0.645,0.00,11.49,0.204,Good,None Required,0
WOTH-010,CHG + CHL,4264,0.00,0.714,0.00,15.92,0.407,Good,None Required,0
WOTH-010,CHG,1298,0.01,0.714,0.00,4.787,0.243,Good,None Required,0
WOTH-010,CHL,2975,0.00,0.714,0.00,0.725,0.001,Good,None Required,0
WOTH-011,CHG + CHL,4605,0.00,0.645,0.00,17.44,0.263,Good,None Required,0
WOTH-011,CHG,1539,0.00,0.645,0.00,5.923,0.084,Good,None Required,0
WOTH-011,CHL,3066,0.00,0.645,0.00,11.78,0.237,Good,None Required,0
WOTH-012,CHG + CHL,4668,0.00,0.714,0.00,16.71,0.232,Good,None Required,0
WOTH-012,CHG,1526,0.00,0.714,0.00,5.308,0.068,Good,None Required,0
WOTH-012,CHL,3140,0.00,0.714,0.00,0.807,0.097,Good,None Required,0
WOTH-013,CHG + CHL,10120,0.03,0.714,0.02,4.234,1.191,Investigate,Dry Out Moisture Ingress Points,3
WOTH-013,CHG,8950,0.01,0.714,0.01,6.128,0.523,Investigate,Investigate Cause,2
WOTH-013,CHL,7959,0.02,0.714,0.01,7.311,0.655,Investigate,Clean Insulation Surface,1
WOTH-014,CHG + CHL,8745,0.02,0.49,0.01,9.223,0.556,Investigate,Apply Sealant,3
WOTH-014,CHG,8454,0.02,0.49,0.01,0.546,0.942,Investigate,Frequent Monitoring,1
WOTH-014,CHL,7543,0.04,0.49,0.02,2.659,1.457,Investigate,Reperform Test,2
WOTH-015,CHG + CHL,9848,0.02,0.55,0.01,11.44,1.223,Investigate,Investigate Cause,4
WOTH-015,CHG,9426,0.03,0.55,0.02,2.348,0.821,Investigate,Investigate Cause,5
WOTH-015,CHL,8525,0.02,0.55,0.01,4.563,0.723,Investigate,Clean Contaminated Insulation,3
WOTH-016,CHG + CHL,8980,0.01,0.8,0.01,9.223,0.644,Investigate,Perform Visual Inspection,4
WOTH-016,CHG,8679,0.02,0.8,0.01,0.114,0.941,Investigate,Reperform Test,2
