Project,Pri-Sec Start,Pri-Gnd Start,Sec-Gnd Start,Pri-Sec 1 min,Pri-Gnd 1 min,Sec-Gnd 1 min,Pri-Sec 2 min,Pri-Gnd 2 min,Sec-Gnd 2 min,Pri-Sec 3 min,Pri-Gnd 3 min,Sec-Gnd 3 min,Pri-Sec 4 min,Pri-Gnd 4 min,Sec-Gnd 4 min,Pri-Sec 5 min,Pri-Gnd 5 min,Sec-Gnd 5 min,Pri-Sec 6 min,Pri-Gnd 6 min,Sec-Gnd 6 min,Pri-Sec 7 min,Pri-Gnd 7 min,Sec-Gnd 7 min,Pri-Sec 8 min,Pri-Gnd 8 min,Sec-Gnd 8 min,Pri-Sec 9 min,Pri-Gnd 9 min,Sec-Gnd 9 min,Pri-Sec 10 min,Pri-Gnd 10 min,Sec-Gnd 10 min ,Pri-Sec Average,Pri-Gnd Average,Sec-Gnd Average,Pri-Sec Status,Pri-Gnd Status,Sec-Gnd Status,Corrective Action,No. of Workers
WOTH-001,200,300,80,7000,5000,100,1000,10000,100,1000,12000,100,16000,1000,100,16000,1000,100,1000,1000,100,1000,1000,100,1000,1000,100,1000,1000,100,1000,1000,100,4200,3118.181818,98.18181818,INVESTIGATE,INVESTIGATE,INVESTIGATE,Replacement of Damage Insulation,5
WOTH-002,6000,35000,100,8000,5000,100,9000,6000,100,10000,6500,100,11000,7000,100,11000,7200,100,12000,7500,100,12000,7500,100,12000,7500,100,12000,7500,100,12000,7500,100,10454.54545,9472.727273,100,NORMAL,NORMAL,INVESTIGATE,Dessicant Packs,1
WOTH-003,100,100,100,20000,25000,100,25000,26000,100,28000,27000,100,30000,27000,100,35000,27000,100,35000,27000,100,35000,27000,100,35000,27000,100,35000,27000,100,35000,27000,100,28463.63636,24281.81818,100,NORMAL,NORMAL,INVESTIGATE,Retest Insulation Resistance,1
WOTH-004,2000,2000,100,2000,5000,100,5500,6000,100,6000,6500,100,6000,7000,100,7000,7500,100,5000,8000,100,5000,8500,100,5000,9000,100,5000,95000,100,5000,10000,100,4863.636364,14954.54545,100,INVESTIGATE,NORMAL,INVESTIGATE,Retighten Connection,2
WOTH-005,2000,2000,100,4000,4000,100,4500,2000,100,2000,2000,100,5500,5000,100,6000,5000,100,6500,6000,100,7000,20000,100,7500,2000,100,2000,1000,100,2000,1000,100,4454.545455,4545.454545,100,INVESTIGATE,INVESTIGATE,INVESTIGATE,Replacement of Damage Insulation,4
WOTH-006,8000,7000,100,16000,14000,100,20000,18000,100,24000,2000,100,26000,19000,100,27000,20000,100,28000,21000,100,29000,22000,100,30000,23000,100,30000,24000,100,30000,25000,100,24363.63636,17727.27273,100,NORMAL,NORMAL,INVESTIGATE,Surface Cleaning,2
WOTH-007,5000,5000,1000,32500,31800,9780,34400,32500,1036,34600,330000,1094,34400,33300,1127,33300,33600,1198,32300,33800,1222,31700,34000,1267,31200,34100,1298,30800,34300,1342,30400,34400,1381,30054.54545,57890.90909,1976.818182,NORMAL,NORMAL,NORMAL,Monitor Condition,1
WOTH-008,5000,5000,1000,60400,79800,48200,59900,75000,5550,59400,70900,6370,58700,67900,7280,57700,66200,8330,57000,65100,9520,56800,64800,10890,56400,65300,12400,55700,66300,13890,55400,68000,15390,52945.45455,63118.18182,12620,NORMAL,NORMAL,NORMAL,Monitor Condition,1
WOTH-009,5000,5000,1000,99400,99500,1770,99500,99500,1702,99600,99500,1627,99600,99500,1510,99700,99500,1513,99700,99500,1546,99700,99500,1510,99800,99500,1497,99900,99500,1457,99900,99500,1444,91072.72727,90909.09091,1506.909091,NORMAL,NORMAL,NORMAL,Monitor Condition,1
WOTH-010,4000,2000,100,10000,4000,100,12000,5000,100,16000,7000,100,18000,7000,100,18000,7000,100,18000,7000,100,18000,7000,100,18000,7000,100,18000,7000,100,18000,7000,100,15272.72727,6090.909091,100,NORMAL,NORMAL,INVESTIGATE,Sealant Application on leaks,2
WOTH-011,5000,5000,100,10000,10000,100,12000,12000,100,14000,14000,100,16000,18000,100,18000,20000,100,20000,20000,100,20000,20000,100,20000,20000,100,20000,20000,100,20000,20000,100,15909.09091,16272.72727,100,NORMAL,NORMAL,INVESTIGATE,Flushing,2
WOTH-012,5000,5000,100,20000,25000,100,25000,25000,100,25000,30000,100,26000,30000,100,28000,30000,100,29000,31000,100,30000,32000,100,31000,34000,100,32000,35000,100,34000,35000,100,25909.09091,28363.63636,100,NORMAL,NORMAL,INVESTIGATE,Oil Treatment,2
WOTH-013,1000,5000,1000,1000,9690,3512,10080,10170,3605,10660,10650,3698,11240,11130,3791,1000,1000,3884,1000,1000,3977,12980,1000,4070,1000,1000,1000,1000,1000,4256,1000,1000,4342,4723.636364,4785.454545,3375.909091,INVESTIGATE,INVESTIGATE,NORMAL,Dry Out Moisture,3
WOTH-014,5000,5000,1000,4000,5000,2585,4000,5000,2687,5920,5000,27890,5610,5000,2891,5000,5000,2993,5000,5000,3095,5000,5000,3197,5000,5000,3299,5000,5000,3401,5000,6000,3496,4957.272727,5090.909091,5139.454545,INVESTIGATE,INVESTIGATE,NORMAL,Dry Out Moisture,2
WOTH-015,5000,5000,1000,22140,25970,7080,23460,27010,7210,24780,28050,7340,26100,29090,7470,27420,30130,7600,28740,31170,7730,30060,32210,7860,31380,33250,7990,32700,34290,8120,34000,35300,8180,25980,28315.45455,7052.727273,NORMAL,NORMAL,NORMAL,Monitor Condition,1
