Project,Tap No.,Theoretical Ratio,1U1V/2n2u Actual ,1U1V/2n2u % Error,1V1W/2n2v Actual ,1V1W/2n2v % Error,1W1U/2n2w Actual ,1W1U/2n2w % Error,1U1V/2n2u STATUS,1V1W/2n2v STATUS,1W1U/2n2w STATUS,Corrective Action ,,,,,,,,,,,,,,,
WOTH-001,2,123.404,123.56,0.126,129.3,5.288,123.97,0.459,GOOD,INVESTIGATE,GOOD,Reperform Test,,,,,,,,,,,,,,,
WOTH-002,2,123.404,123.89,0.394,123.93,0.426,123.94,0.434,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-003,2,123.404,123.94,0.434,123.94,0.434,123.96,0.451,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-004,2,123.405,123.84,0.352,123.78,0.304,124.63,0.993,GOOD,GOOD,INVESTIGATE,Visual Inspection,,,,,,,,,,,,,,,
WOTH-005,2,123.405,123.86,0.369,123.77,0.296,123.7,0.239,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-006,2,123.405,123.96,0.45,123.76,0.288,123.79,0.312,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-007,2,123.405,123.44,0.028,123.43,0.02,123.43,0.02,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-008,2,123.405,123.44,0.028,123.43,0.02,123.43,0.02,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-009,2,123.405,123.44,0.028,123.43,0.02,123.44,0.028,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-010,0,149.385,149.61,0.151,149.69,0.204,149.75,0.244,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-011,0,149.385,149.88,0.331,149.72,0.224,149.76,0.251,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-012,0,149.385,149.8,0.278,149.63,0.164,149.72,0.224,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-013,5,123.405,123.48,0.061,123.47,0.053,123.47,0.053,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-014,5,123.405,123.47,0.053,123.46,0.045,123.46,0.045,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-015,5,123.405,123.47,0.053,123.46,0.045,123.47,0.053,GOOD,GOOD,GOOD,None Required,,,,,,,,,,,,,,,
WOTH-016,2,123.404,123.98,0.467,124.03,0.507,124.21,0.653,GOOD,INVESTIGATE,INVESTIGATE,Verify Test Equipment and Procedure,,,,,,,,,,,,,,,
WOTH-017,2,123.404,124.05,0.523,124.45,0.848,124.63,0.993,INVESTIGATE,INVESTIGATE,INVESTIGATE,Consult Manufacturer,,,,,,,,,,,,,,,
WOTH-018,2,123.404,124.11,0.572,124.03,0.507,123.41,0.005,INVESTIGATE,INVESTIGATE,GOOD,Verify Test Equipment and Procedure,,,,,,,,,,,,,,,
WOTH-019,5,123.405,124.75,1.09,124.87,1.187,124.93,1.236,INVESTIGATE,INVESTIGATE,INVESTIGATE,Manufacturer Consulatation,,,,,,,,,,,,,,,
WOTH-020,5,123.405,123.89,0.393,124.77,1.106,124.78,1.114,GOOD,INVESTIGATE,INVESTIGATE,Insulation Resistance Test,,,,,,,,,,,,,,,
