NAME_1,NAME_2,NAME_3,Barangay,Top_1,Councilor
Quezon,Lucban,Abang,Abang,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Aliliw,Aliliw,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Atulinao,Atulinao,Tenten Villaverde,Kap Freddie Martinez
Quezon,Lucban,Ayuti,Ayuti,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay1,Barangay 1,Tenten Villaverde,Kap Freddie Martinez
Quezon,Lucban,Barangay2,Barangay 2,Tenten Villaverde,Charmie Pavino
Quezon,Lucban,Barangay3,Barangay 3,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay4,Barangay 4,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay5,Barangay 5,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay6,Barangay 6,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay7,Barangay 7,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Barangay8,Barangay 8,Tenten Villaverde,Charmie Pavino
Quezon,Lucban,Barangay9,Barangay 9,Tenten Villaverde,Charmie Pavino
Quezon,Lucban,Barangay10,Barangay 10,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Igang,Igang,Tenten Villaverde,DJ Christsuper Policena
Quezon,Lucban,Kabatete,Kabatete,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Kakawit,Kakawit,Tenten Villaverde,Kap Freddie Martinez
Quezon,Lucban,Kalangay,Kalangay,No Data Available,No Data Available
Quezon,Lucban,Kalyaat,Kalyaat,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Kilib,Kilib,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Kulapi,Kulapi,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,MahabangParang,Mahabang Parang,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Malupak,Malupak,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Manasa,Manasa,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,May-It,May-It,Tenten Villaverde,Eduardo Alamo
Quezon,Lucban,Nagsinamo,Nagsinamo,Tenten Villaverde,Nikki Deveza
Quezon,Lucban,Nalunao,Nalunao,Tenten Villaverde,Kuya Kardo Sanchez
Quezon,Lucban,Palola,Palola,Oli Dator,Pio Lim Jr.
Quezon,Lucban,Piis,Piis,Tenten Villaverde,Kap Freddie Martinez
Quezon,Lucban,Samil,Samil,Tenten Villaverde,Migs Bazar
Quezon,Lucban,Tiawe,Tiawe,Tenten Villaverde,Kuya Kardo Sanchez
Quezon,Lucban,Tinamnan,Tinamnan,Tenten Villaverde,Charmie Pavino
