NAME_1,NAME_2,NAME_3,Barangay,Top_1
Quezon,TayabasCity,Alitao,Alitao,Lovely Reynoso
Quezon,TayabasCity,AlsamIbaba,Alsam Ibaba,Kuya Piwa Lim
Quezon,TayabasCity,AlsamIlaya,Alsam Ilaya,Lovely Reynoso
Quezon,TayabasCity,Alupay,Alupay,Kuya Piwa Lim
Quezon,TayabasCity,AngelesZoneI,Angeles Zone I,Kuya Piwa Lim
Quezon,TayabasCity,AngelesZoneII,Angeles Zone II,Kuya Piwa Lim
Quezon,TayabasCity,AngelesZoneIII,Angeles Zone III,Kuya Piwa Lim
Quezon,TayabasCity,AngeliesZoneIV,Angelies Zone IV,Kuya Piwa Lim
Quezon,TayabasCity,AngustiasZoneI,Angustias Zone I,Lovely Reynoso
Quezon,TayabasCity,AngustiasZoneII,Angustias Zone II,Kuya Piwa Lim
Quezon,TayabasCity,AngustiasZoneIII,Angustias Zone III,Kuya Piwa Lim
Quezon,TayabasCity,AngustiasZoneIV,Angustias Zone IV,Lovely Reynoso
Quezon,TayabasCity,Anos,Anos,Kuya Piwa Lim
Quezon,TayabasCity,Ayaas,Ayaas,Lovely Reynoso
Quezon,TayabasCity,Baguio,Baguio,Kuya Piwa Lim
Quezon,TayabasCity,Banilad,Banilad,Lovely Reynoso
Quezon,TayabasCity,BukalIbaba,Bukal Ibaba,Kuya Piwa Lim
Quezon,TayabasCity,BukalIlaya,Bukal Ilaya,Lovely Reynoso
Quezon,TayabasCity,Calantas,Calantas,Kuya Piwa Lim
Quezon,TayabasCity,Calumpang,Calumpang,Kuya Piwa Lim
Quezon,TayabasCity,Camaysa,Camaysa,Kuya Piwa Lim
Quezon,TayabasCity,Dapdap,Dapdap,Lovely Reynoso
Quezon,TayabasCity,DomoitKanluran,Domoit Kanluran,Kuya Piwa Lim
Quezon,TayabasCity,DomoitSilangan,Domoit Silangan,Kuya Piwa Lim
Quezon,TayabasCity,Gibanga,Gibanga,Kuya Piwa Lim
Quezon,TayabasCity,Ibas,Ibas,Lovely Reynoso
Quezon,TayabasCity,IlasanIbaba,Ilasan Ibaba,Lovely Reynoso
Quezon,TayabasCity,IlasanIlaya,Ilasan Ilaya,Lovely Reynoso
Quezon,TayabasCity,Ipilan,Ipilan,Lovely Reynoso
Quezon,TayabasCity,Isabang,Isabang,Kuya Piwa Lim
Quezon,TayabasCity,KatiganKanluran,Katigan Kanluran,Lovely Reynoso
Quezon,TayabasCity,KatiganSilangan,Katigan Silangan,Kuya Piwa Lim
Quezon,TayabasCity,Lakawan,Lakawan,Kuya Piwa Lim
Quezon,TayabasCity,Lalo,Lalo,Lovely Reynoso
Quezon,TayabasCity,Lawigue,Lawigue,Kuya Piwa Lim
Quezon,TayabasCity,Lita,Lita,Kuya Piwa Lim
Quezon,TayabasCity,Malaoa,Malaoa,Kuya Piwa Lim
Quezon,TayabasCity,Masin,Masin,Lovely Reynoso
Quezon,TayabasCity,Mate,Mate,Lovely Reynoso
Quezon,TayabasCity,Mateuna,Mateuna,Kuya Piwa Lim
Quezon,TayabasCity,Mayowe,Mayowe,Lovely Reynoso
Quezon,TayabasCity,NangkaIbaba,Nangka Ibaba,Lovely Reynoso
Quezon,TayabasCity,NangkaIlaya,Nangka Ilaya,Lovely Reynoso
Quezon,TayabasCity,Opias,Opias,Kuya Piwa Lim
Quezon,TayabasCity,PalaleIbaba,Palale Ibaba,Kuya Piwa Lim
Quezon,TayabasCity,PalaleIlaya,Palale Ilaya,Lovely Reynoso
Quezon,TayabasCity,PalaleKanluran,Palale Kanluran,Kuya Piwa Lim
Quezon,TayabasCity,PalaleSilangan,Palale Silangan,Kuya Piwa Lim
Quezon,TayabasCity,Pandakaki,Pandakaki,Kuya Piwa Lim
Quezon,TayabasCity,Pook,Pook,Kuya Piwa Lim
Quezon,TayabasCity,Potol,Potol,Lovely Reynoso
Quezon,TayabasCity,SanDiegoZoneI,San Diego Zone I,No Data Available
Quezon,TayabasCity,SanDiegoZoneII,San Diego Zone II,Lovely Reynoso
Quezon,TayabasCity,SanDiegoZoneIII,San Diego Zone III,Kuya Piwa Lim
Quezon,TayabasCity,SanDiegoZoneIV,San Diego Zone IV,Kuya Piwa Lim
Quezon,TayabasCity,SanIsidroZoneI,San Isidro Zone I,Lovely Reynoso
Quezon,TayabasCity,SanIsidroZoneII,San Isidro Zone II,Kuya Piwa Lim
Quezon,TayabasCity,SanIsidroZoneIII,San Isidro Zone III,Kuya Piwa Lim
Quezon,TayabasCity,SanIsidroZoneIV,San Isidro Zone IV,Kuya Piwa Lim
Quezon,TayabasCity,SanRoqueZone I,San Roque Zone I,Kuya Piwa Lim
Quezon,TayabasCity,SanRoqueZoneII,San Roque Zone II,Lovely Reynoso
Quezon,TayabasCity,Talolong,Talolong,Kuya Piwa Lim
Quezon,TayabasCity,Tamlong,Tamlong,Lovely Reynoso
Quezon,TayabasCity,Tongko,Tongko,Lovely Reynoso
Quezon,TayabasCity,Valencia,Valencia,Lovely Reynoso
Quezon,TayabasCity,Wakas,Wakas,Kuya Piwa Lim
