NAME_1,NAME_2,LGU,District,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score,Population_Growth,Economic Dynamism,Government Efficiency,Infrastructure,Resiliency,Innovation
Cavite,Alfonso,Alfonso,District 8,First Class Municipality,37.8224,51839,0.006,339494758.2,0.008,0.014,0.5484,2.87,4.005,9.8682,3.0799,11.5771,9.2823
Cavite,Amadeo,Amadeo,District 7,Fourth Class Municipality,32.9745,41901,0.005,21706496.81,0.001,0.006,0.1814,2.28,6.2073,8.2824,3.8485,11.2599,3.3764
Cavite,Bacoor,Bacoor,District 2,Component City,42.4248,664625,0.079,3036774027,0.074,0.153,6.4868,2.16,6.0954,9.9001,5.7636,11.4248,9.2409
Cavite,Carmona,Carmona,District 5,First Class Municipality,43.8327,106256,0.013,1133964015,0.028,0.04,1.7621,1.81,7.6384,11.2303,3.7397,11.623,9.534
Cavite,CaviteCity,Cavite,District 1,Component City,33.0578,100674,0.012,164306615,0.004,0.016,0.5289,-0.44,3.2379,8.8422,3.6751,11.2792,6.0234
Cavite,Dasmariñas,Dasmarinas,District 4,Component City,46.9285,703141,0.084,3788372700,0.092,0.176,8.25,1.37,8.2765,9.878,7.417,11.5929,9.7641
Cavite,GeneralEmilioAguinaldo,Gen. Emilio Aguinaldo,District 8,Fifth Class Municipality,37.0502,23973,0.003,20788236.5,0.001,0.003,0.126,1.61,5.7756,7.0251,5.5914,11.4902,7.1679
Cavite,GeneralMarianoAlvarez,Gen. Mariano Alvarez,District 5,First Class Municipality,34.1405,155143,0.019,620937061.1,0.015,0.034,1.1471,2.25,4.1559,9.3854,3.4458,11.4094,5.7158
Cavite,GeneralTrias,General Trias,District 6,Component City,39.3679,450583,0.054,3236141541,0.079,0.132,5.2044,7.88,6.7018,9.7336,6.1686,11.7073,5.0566
Cavite,Imus,Imus,District 3,Component City,41.6118,403785,0.048,1107896329,0.027,0.075,3.1209,4.46,6.4661,9.9534,5.4636,12.2755,7.4532
Cavite,Indang,Indang,District 7,First Class Municipality,34.0372,65599,0.008,336268441.2,0.008,0.016,0.5446,0.98,3.7501,7.7502,2.9593,11.4683,8.101
Cavite,Kawit,Kawit,District 1,First Class Municipality,30.7288,107535,0.013,504922134.8,0.012,0.025,0.7713,5.48,4.4384,7.9271,3.3551,10.975,4.0182
Cavite,Magallanes,Magallanes,District 8,Fourth Class Municipality,30.8401,21604,0.003,173057241.6,0.004,0.007,0.2097,1.02,3.9528,8.4363,2.2224,11.2846,4.944
Cavite,Maragondon,Maragondon,District 8,Third Class Municipality,34.3802,37720,0.005,31464592.97,0.001,0.005,0.1822,1.61,4.9029,8.7429,3.7722,11.4423,5.5199
Cavite,Mendez,Mendez,District 8,Fourth Class Municipality,33.3033,34879,0.004,9773783.42,0,0.004,0.1465,2.15,5.938,8.4954,3.6571,10.9511,4.2617
Cavite,Naic,Naic,District 8,First Class Municipality,32.45,160987,0.019,132153520.5,0.003,0.022,0.7269,8.05,4.712,8.988,3.3233,11.4289,3.9826
Cavite,Noveleta,Noveleta,District 1,Third Class Municipality,34.2922,45846,0.006,49478486.32,0.001,0.007,0.2298,1.61,5.6829,8.0472,3.6572,10.9819,5.923
Cavite,Rosario,Rosario,District 1,First Class Municipality,38.6974,110706,0.013,984863519.8,0.024,0.037,1.4357,0.02,4.4109,9.9219,3.6465,12.414,8.2811
Cavite,Silang,Silang,District 5,First Class Municipality,40.0615,295644,0.035,1353016104,0.033,0.068,2.7282,3.76,6.7774,9.2386,4.3537,11.9699,7.6665
Cavite,TagaytayCity,Tagaytay,District 8,Component City,35.0134,71181,0.009,793154872.7,0.019,0.028,0.9734,3.89,3.6423,9.6422,4.5704,11.4295,5.729
Cavite,Tanza,Tanza,District 7,First Class Municipality,39.9544,312116,0.037,1151989423,0.028,0.065,2.601,7.01,7.2325,9.233,4.1357,11.7535,7.5507
Cavite,Ternate,Ternate,District 8,Fourth Class Municipality,30.8191,24654,0.003,223269787.7,0.005,0.008,0.2558,1.33,3.5152,8.5024,3.0078,11.3909,4.4028
Cavite,TreceMartiresCity,Trece Martires,District 7,Component City,33.9622,210503,0.025,1360859173,0.033,0.058,1.9766,6.55,4.1058,8.7899,4.4106,11.3756,5.2803
