NAME_1,Province,CMCI Overall Score
Abra,Abra,27.6938
AgusandelNorte,Agusan del Norte,29.3118
AgusandelSur,Agusan del Sur,30.9635
Aklan,Aklan,32.9665
Albay,Albay,35.4027
Antique,Antique,29.6861
Apayao,Apayao,23.8787
Aurora,Aurora,31.7832
Basilan,Basilan (BARMM),25.6928
Basilan (IX),Basilan (Zamboanga Peninsula),35.8375
Bataan,Bataan,35.1663
Batanes,Batanes,27.6319
Batangas,Batangas,35.7477
Benguet,Benguet,31.3686
Biliran,Biliran,29.0622
Bohol,Bohol,30.0857
Bukidnon,Bukidnon,31.5758
Bulacan,Bulacan,36.0707
Cagayan,Cagayan,34.1063
CamarinesNorte,Camarines Norte,29.9646
CamarinesSur,Camarines Sur,33.8307
Camiguin,Camiguin,38.6194
Capiz,Capiz,30.3785
Catanduanes,Catanduanes,26.1386
Cavite,Cavite,40.1377
Cebu,Cebu,30.4593
CompostelaValley,Davao de Oro (Compostela Valley),33.6497
DavaodelNorte,Davao del Norte,40.5691
DavaodelSur,Davao del Sur,36.6047
DavaoOriental,Davao Oriental,32.4541
DinagatIslands,Dinagat Islands,29.1051
EasternSamar,Eastern Samar,30.1986
Guimaras,Guimaras,32.3026
Ifugao,Ifugao,31.9729
IlocosNorte,Ilocos Norte,33.3932
IlocosSur,Ilocos Sur,31.7192
Iloilo,Iloilo,31.9318
Isabela,Isabela,32.8183
Kalinga,Kalinga,31.0821
Laguna,Laguna,40.1525
LanaodelNorte,Lanao del Norte,30.93
LanaodelSur,Lanao del Sur,23.8701
LaUnion,La Union,36.3735
Leyte,Leyte,29.8942
Maguindanao,Maguindanao,32.4495
Marinduque,Marinduque,30.9278
Masbate,Masbate,25.622
MetropolitanManila,Metropolitan Manila,0
MisamisOccidental,Misamis Occidental,30.4893
MisamisOriental,Misamis Oriental,33.8454
MountainProvince,Mountain Province,27.8961
NegrosOccidental,Negros Occidental,29.5693
NegrosOriental,Negros Oriental,28.7894
NorthCotabato,North Cotabato,34.8153
NorthernSamar,Northern Samar,30.1859
NuevaEcija,Nueva Ecija,30.82
NuevaVizcaya,Nueva Vizcaya,30.1128
OccidentalMindoro,Occidental Mindoro,32.5983
OrientalMindoro,Oriental Mindoro,32.8268
Palawan,Palawan,28.72
Pampanga,Pampanga,34.6768
Pangasinan,Pangasinan,32.4118
Quezon,Quezon,33.7312
Quirino,Quirino,31.4457
Rizal,Rizal,44.069
Romblon,Romblon,28.6789
Samar,Samar (Western Samar),30.7364
Sarangani,Sarangani,34.2436
Siquijor,Siquijor,31.5838
Sorsogon,Sorsogon,29.7166
SouthCotabato,South Cotabato,34.9074
SouthernLeyte,Southern Leyte,28.0731
SultanKudarat,Sultan Kudarat,33.2892
Sulu,Sulu,12.1853
SurigaodelNorte,Surigao del Norte,32.5826
SurigaodelSur,Surigao del Sur,28.1913
Tarlac,Tarlac,32.2754
Tawi-Tawi,Tawi-Tawi,23.1214
Zambales,Zambales,31.2143
ZamboangadelNorte,Zamboanga del Norte,28.6283
ZamboangadelSur,Zamboanga del Sur,30.8735
ZamboangaSibugay,Zamboanga Sibugay,28.5329
