NAME_1,NAME_2,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score
OccidentalMindoro,AbradeIlog,Abra de Ilog,Second Class Municipality,28.5006,"31,306","305,923,432.39",3.9644
OccidentalMindoro,Calintaan,Calintaan,Third Class Municipality,28.8515,"29,826","16,943,529.41",1.0271
OccidentalMindoro,Looc,Looc,Fifth Class Municipality,32.6385,"7,802","1,108,136.72",0.2676
OccidentalMindoro,Lubang,Lubang,Fourth Class Municipality,24.7033,"17,437","9,527,400.24",0.5114
OccidentalMindoro,Magsaysay,Magsaysay,Third Class Municipality,29.9612,"36,016","9,643,656.44",1.1745
OccidentalMindoro,Mamburao,Mamburao,Second Class Municipality,31.2934,"42,975","244,898,157.89",4.0431
OccidentalMindoro,Paluan,Paluan,Third Class Municipality,21.7302,"18,566","8,872,283.56",0.4672
OccidentalMindoro,Rizal,Rizal,Third Class Municipality,30.5871,"40,429","12,549,013.00",1.3642
OccidentalMindoro,Sablayan,Sablayan,First Class Municipality,33.3905,"83,169","45,724,247.91",3.2956
OccidentalMindoro,SanJose,San Jose,First Class Municipality,36.4073,"153,267","750,096,845.31",15.1891
OccidentalMindoro,SantaCruz,Santa Cruz,Fifth Class Municipality,28.1935,"42,417","10,692,736.51",1.2941
OrientalMindoro,Baco,Baco,Third Class Municipality,28.8158,"39,817","14,689,999.06",0.6743
OrientalMindoro,Bansud,Bansud,Second Class Municipality,28.3829,"40,992","267,591,123.58",0.6925
OrientalMindoro,Bongabong,Bongabong,First Class Municipality,32.9518,"72,073","314,582,582,528.42",17.6819
OrientalMindoro,Bulalacao,Bulalacao,Third Class Municipality,24.6072,"39,107","10,778,308.63",0.5635
OrientalMindoro,CalapanCity,Calapan City,Component City,47.9056,"133,893","1,387,586,581.18",3.866
OrientalMindoro,Gloria,Gloria,Third Class Municipality,27.1582,"45,073","19,088,890.51",0.717
OrientalMindoro,Mansalay,Mansalay,Second Class Municipality,23.6369,"54,533","248,064,500.04",0.7658
OrientalMindoro,Naujan,Naujan,First Class Municipality,31.37,"102,998","499,821,790.37",1.9198
OrientalMindoro,Pinamalayan,Pinamalayan,First Class Municipality,34.9735,"86,172","360,459,503.00",1.7906
OrientalMindoro,Pola,Pola,Third Class Municipality,26.7017,"34,701","196,427,849.14",0.5527
OrientalMindoro,PuertoGalera,Puerto Galera,First Class Municipality,31.1179,"36,606","299,836,696.13",0.6846
