TeamID,Team
0,Arizona Diamondbacks
1,Atlanta Braves
2,Baltimore Orioles
3,Boston Red Sox
4,Chicago White Sox
5,Chicago Cubs
6,Cincinnati Reds
7,Cleveland Guardians
8,Colorado Rockies
9,Detroit Tigers
10,Houston Astros
11,Kansas City Royals
12,Los Angeles Angels
13,Los Angeles Dodgers
14,Miami Marlins
15,Milwaukee Brewers
16,Minnesota Twins
17,New York Yankees
18,New York Mets
19,Oakland Athletics
20,Philadelpia Phillies
21,Pittsburgh Pirates
22,San Diego Padres
23,San Francisco Giants
24,Seattle Mariners
25,St. Louis Cardinals
26,Tampa Bay Rays
27,Texas Rangers
28,Toronto Blue Jays
29,Washington Nationals
