TeamID,Team
0,Atlanta Hawks
1,Boston Celtics
2,Brooklyn Nets
3,Charlotte Hornets
4,Chicago Bulls
5,Cleveland Cavaliers
6,Dallas Mavericks
7,Denver Nuggets
8,Detroit Pistons
9,Golden State Warriors
10,Houston Rockets
11,Indiana Pacers
12,LA Clippers
13,Los Angeles Lakers
14,Memphis Grizzlies
15,Miami Heat
16,Milwaukee Bucks
17,Minnesota Timberwolves
18,New Orleans Pelicans
19,New York Knicks
20,Oklahoma City Thunder
21,Orlando Magic
22,Philadelphia 76ers
23,Phoenix Suns
24,Portland Trail Blazers
25,Sacramento Kings
26,San Antonio Spurs
27,Toronto Raptors
28,Utah Jazz
29,Washington Wizards
