Date,Cases
1/30/2020,1
1/31/2020,0
02/01/2020,0
02/02/2020,1
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,1
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,2
03/07/2020,1
03/08/2020,4
03/09/2020,10
03/10/2020,13
03/11/2020,16
03/12/2020,3
3/13/2020,12
3/14/2020,47
3/15/2020,29
3/16/2020,2
3/17/2020,45
3/18/2020,15
3/19/2020,15
3/20/2020,13
3/21/2020,77
3/22/2020,73
3/23/2020,82
3/24/2020,90
3/25/2020,84
3/26/2020,71
3/27/2020,96
3/28/2020,272
3/29/2020,343
3/30/2020,128
3/31/2020,538
04/01/2020,227
04/02/2020,322
04/03/2020,385
04/04/2020,76
04/05/2020,152
04/06/2020,414
04/07/2020,104
04/08/2020,106
04/09/2020,206
04/10/2020,119
04/11/2020,233
04/12/2020,220
4/13/2020,284
4/14/2020,291
4/15/2020,230
4/16/2020,207
4/17/2020,218
4/18/2020,209
4/19/2020,172
4/20/2020,200
4/21/2020,140
4/22/2020,111
4/23/2020,271
4/24/2020,211
4/25/2020,102
4/26/2020,285
4/27/2020,198
4/28/2020,181
4/29/2020,254
4/30/2020,276
05/01/2020,284
05/02/2020,156
05/03/2020,295
05/04/2020,262
05/05/2020,199
05/06/2020,320
05/07/2020,339
05/08/2020,120
05/09/2020,147
05/10/2020,184
05/11/2020,292
05/12/2020,264
5/13/2020,268
5/14/2020,258
5/15/2020,215
5/16/2020,214
5/17/2020,208
5/18/2020,205
5/19/2020,224
5/20/2020,279
5/21/2020,213
5/22/2020,163
5/23/2020,180
5/24/2020,258
5/25/2020,284
5/26/2020,350
5/27/2020,380
5/28/2020,539
5/29/2020,1046
5/30/2020,590
5/31/2020,862
06/01/2020,552
06/02/2020,359
06/03/2020,751
06/04/2020,634
06/05/2020,244
06/06/2020,714
06/07/2020,555
06/08/2020,579
06/09/2020,518
06/10/2020,740
06/11/2020,443
06/12/2020,612
6/13/2020,605
6/14/2020,538
6/15/2020,490
6/16/2020,361
6/17/2020,457
6/18/2020,561
6/19/2020,660
6/20/2020,941
6/21/2020,652
6/22/2020,630
6/23/2020,1143
6/24/2020,470
6/25/2020,774
6/26/2020,1004
6/27/2020,730
6/28/2020,652
6/29/2020,983
6/30/2020,1076
07/01/2020,997
07/02/2020,294
07/03/2020,1531
07/04/2020,1494
07/05/2020,2424
07/06/2020,2079
07/07/2020,1540
