DATE,RAINFALL,TEMPERATURE,RH,WIND SPEED,DAYLIGHT,EXPORT,TOTAL GENERATION,IMPORT
01/01/2019,4.68,24.98,87,3,5.7,316,316,382
02/01/2019,1.14,25.43,86,2,8.6,349,340,389.67
03/01/2019,0.25,26.97,79,2,8.7,340,346,378.67
04/01/2019,2.91,28.38,80,2,9.6,360,360,461
05/01/2019,8.23,28.53,85,1,6.7,302,362,609
06/01/2019,5.37,28.83,84,2,7,258,358,603
07/01/2019,8.17,27.59,87,1,4.9,259,359,474
08/01/2019,5.45,27.74,84,2,4.2,357,348,479
09/01/2019,4.19,27.73,84,2,4.8,347,349,512
10/01/2019,10.83,27.34,83,2,6.3,456,321,461
11/01/2019,9.13,26.86,86,2,4.5,363,318,549
12/01/2019,14.05,26.15,86,3,5.1,373,316,412
01/01/2020,4.88,25.59,84,3,5.5,395,395,307
02/01/2020,6.41,24.61,85,3,6,431,343,409
03/01/2020,0.79,27.14,81,2,9.4,378,342,356
04/01/2020,3.28,27.81,80,2,8.7,410,312,365
05/01/2020,5.6,28.73,81,2,8.1,290,371,839
06/01/2020,10.97,28.27,82,2,6.8,248,368,659
07/01/2020,6.99,28.07,84,2,6.2,267,367,506
08/01/2020,8.48,27.36,85,1,4.8,278,378,503
09/01/2020,9.2,27.79,85,1,6.1,319,319,575
10/01/2020,39.56,26.87,87,2,4.1,336,326,415
11/01/2020,26.59,26.44,88,3,4.5,260,260,410
12/01/2020,22.8,26.38,88,3,4.4,205,255,421
01/01/2021,8.39,24.98,86,3,3.9,245,245,426
02/01/2021,4.46,25.26,86,3,5.4,276,276,369
03/01/2021,9.62,26.83,85,3,7.4,304,304,333
04/01/2021,2.94,26.85,83,2,7.3,344,344,389
05/01/2021,3.24,28.27,82,2,8,312,369,455
06/01/2021,5.84,27.49,83,1,6.2,270,366,569
07/01/2021,11.06,27.2,85,2,4.3,299,331,433
08/01/2021,6.08,27.15,82,2,5.7,309,342,382
09/01/2021,20.99,26.51,88,2,4.4,300,301,458
10/01/2021,21.75,26.19,88,2,3.4,278,278,378
11/01/2021,9.46,26.55,87,2,6.2,285,285,463
12/01/2021,11.02,24.78,87,3,4.6,221,251,415
01/01/2022,5.98,27.65,86,3,6.5,308,308,413
02/01/2022,4,28.66,86,3,5.4,341,341,391
03/01/2022,3.55,30,82,3,7.5,340,340,447
04/01/2022,3.04,29.87,81,2,5.8,328,328,629
05/01/2022,5.69,30.55,83,2,6.9,306,356,533
06/01/2022,7.39,29.87,83,2,5.8,258,358,581
07/01/2022,8.74,29.35,85,2,4.1,313,353,529
08/01/2022,6.67,28.4,84,2,3.7,870,370,328
09/01/2022,11.46,28.47,85,2,4.8,889,289,411
10/01/2022,24.05,29.08,86,2,5,821,321,380
11/01/2022,15.06,28.93,87,2,5.6,824,322,338
12/01/2022,15.96,27.92,87,3,3.4,754,324,395
01/01/2023,6.42,27.16,85,3,5.3,643,343,407
02/01/2023,4.96,28.77,85,3,5.6,913,313,316
03/01/2023,4.65,29.71,83,3,8.1,1058,348,301
04/01/2023,3.09,29.24,82,2,7.3,1053,321,394
05/01/2023,4.84,29.18,82,2,7.7,302.67,369,609
06/01/2023,8.07,28.54,83,2,6.3,258.67,361,603
07/01/2023,8.93,28.21,85,2,4.9,284.5,351,485.5
08/01/2023,7.08,27.64,84,2,4.7,453.5,353,423
09/01/2023,13.88,27.59,86,2,5.1,463.75,343,489
10/01/2023,28.45,27.38,87,2,4.2,472.75,342,408.5
11/01/2023,17.04,27.31,87,2,5.4,433,343,440
12/01/2023,16.59,26.36,87,3,4.1,388.25,322,410.75
