Date,airmiles
1/1/1996,30983174
1/2/1996,32147663
1/3/1996,38342975
1/4/1996,35969113
1/5/1996,36474391
1/6/1996,38772238
1/7/1996,40395657
1/8/1996,41738499
1/9/1996,33580773
1/10/1996,36389842
1/11/1996,32734901
1/12/1996,36866146
1/1/1997,28829794
1/2/1997,29715369
1/3/1997,37179450
1/4/1997,34002004
1/5/1997,34585497
1/6/1997,36981956
1/7/1997,38912640
1/8/1997,39715971
1/9/1997,32047526
1/10/1997,34405523
1/11/1997,32121254
1/12/1997,34447370
1/1/1998,33809257
1/2/1998,32688448
1/3/1998,39908269
1/4/1998,38618515
1/5/1998,38823805
1/6/1998,41119273
1/7/1998,42153193
1/8/1998,43171610
1/9/1998,35309230
1/10/1998,38570506
1/11/1998,36291556
1/12/1998,37511830
1/1/1999,35450576
1/2/1999,34337785
1/3/1999,42448030
1/4/1999,40818378
1/5/1999,40464057
1/6/1999,43527294
1/7/1999,46918931
1/8/1999,45841044
1/9/1999,37829297
1/10/1999,41651047
1/11/1999,39875749
1/12/1999,39190232
1/1/2000,36195402
1/2/2000,37239740
1/3/2000,45664486
1/4/2000,43262977
1/5/2000,44467601
1/6/2000,47261820
1/7/2000,48826557
1/8/2000,48160579
1/9/2000,39573944
1/10/2000,42900870
1/11/2000,41847515
1/12/2000,40727132
1/1/2001,38306506
1/2/2001,36969339
1/3/2001,45686100
1/4/2001,43711664
1/5/2001,43674826
1/6/2001,46654145
1/7/2001,49597273
1/8/2001,50169907
1/9/2001,27077913
1/10/2001,34181554
1/11/2001,34749808
1/12/2001,35726959
1/1/2002,33895671
1/2/2002,33620972
1/3/2002,42633492
1/4/2002,39536354
1/5/2002,40895024
1/6/2002,44060019
1/7/2002,47183364
1/8/2002,46899366
1/9/2002,34776695
1/10/2002,40093025
1/11/2002,37213997
1/12/2002,42407172
1/1/2003,37197809
1/2/2003,35099316
1/3/2003,42910514
1/4/2003,40370292
1/5/2003,41875126
1/6/2003,45592190
1/7/2003,49633439
1/8/2003,48343838
1/9/2003,37858815
1/10/2003,42507287
1/11/2003,40238253
1/12/2003,43698675
1/1/2004,39180114
1/2/2004,39736435
1/3/2004,47876012
1/4/2004,47050439
1/5/2004,46534130
1/6/2004,51134050
1/7/2004,54317314
1/8/2004,52392985
1/9/2004,41816777
1/10/2004,47205665
1/11/2004,44553653
1/12/2004,46316602
1/1/2005,42760657
1/2/2005,41120838
1/3/2005,52053059
1/4/2005,48152585
1/5/2005,50047901
