Date,Season,Hour,Holiday,Day of the Week,Working Day,Weather Type,Temperature F,Temperature Feels F,Humidity,Wind Speed,Casual Users,Registered Users,Total Users
1/1/2011,4,0,0,6,0,1,36.6,37.4,81,0,3,13,16
1/1/2011,4,1,0,6,0,1,34.9,35.6,80,0,8,32,40
1/1/2011,4,2,0,6,0,1,34.9,35.6,80,0,5,27,32
1/1/2011,4,3,0,6,0,1,36.6,37.4,75,0,3,10,13
1/1/2011,4,4,0,6,0,1,36.6,37.4,75,0,0,1,1
1/1/2011,4,5,0,6,0,2,36.6,33.8,75,6,0,1,1
1/1/2011,4,6,0,6,0,1,34.9,35.6,80,0,2,0,2
1/1/2011,4,7,0,6,0,1,33.1,33.8,86,0,1,2,3
1/1/2011,4,8,0,6,0,1,36.6,37.4,75,0,1,7,8
1/1/2011,4,9,0,6,0,1,43.5,44.6,76,0,8,6,14
1/1/2011,4,10,0,6,0,1,48.7,50,76,17,12,24,36
1/1/2011,4,11,0,6,0,1,47,42.8,81,19,26,30,56
1/1/2011,4,12,0,6,0,1,52.1,53.6,77,19,29,55,84
1/1/2011,4,13,0,6,0,2,55.6,57.2,72,20,47,47,94
1/1/2011,4,14,0,6,0,2,55.6,57.2,72,19,35,71,106
1/1/2011,4,15,0,6,0,2,53.9,55.4,77,20,40,70,110
1/1/2011,4,16,0,6,0,2,52.1,53.6,82,20,41,52,93
1/1/2011,4,17,0,6,0,2,53.9,55.4,82,19,15,52,67
1/1/2011,4,18,0,6,0,3,52.1,53.6,88,17,9,26,35
1/1/2011,4,19,0,6,0,3,52.1,53.6,88,17,6,31,37
1/1/2011,4,20,0,6,0,2,50.4,51.8,87,17,11,25,36
1/1/2011,4,21,0,6,0,2,50.4,51.8,87,13,3,31,34
1/1/2011,4,22,0,6,0,2,50.4,51.8,94,15,11,17,28
1/1/2011,4,23,0,6,0,2,55.6,57.2,88,20,15,24,39
1/2/2011,4,0,0,0,0,2,55.6,57.2,88,20,4,13,17
1/2/2011,4,1,0,0,0,2,53.9,55.4,94,17,1,16,17
1/2/2011,4,2,0,0,0,2,52.1,53.6,100,19,1,8,9
1/2/2011,4,3,0,0,0,2,55.6,57.2,94,13,2,4,6
