BusinessID,BusinessName,Category,Location,Revenue,Employees,CustomerSatisfaction,YearEstablished
BUS0001,Business_1,Education,New York,186097.41,447,3.2,2022
BUS0002,Business_2,Retail,Miami,677201.8,300,4.3,1984
BUS0003,Business_3,Healthcare,Houston,259990.6,338,4.2,1982
BUS0004,Business_4,Healthcare,Seattle,335475.91,393,4.9,1988
BUS0005,Business_5,Finance,Chicago,107909.76,356,3.6,1991
BUS0006,Business_6,Finance,Chicago,951094.24,120,4.6,1982
BUS0007,Business_7,Hospitality,Los Angeles,885728.2,88,3.2,1992
BUS0008,Business_8,Retail,New York,915998.78,236,3.6,1986
BUS0009,Business_9,Technology,Seattle,644693.48,42,2.8,2011
BUS0010,Business_10,Retail,Chicago,455840.55,414,2.4,1992
BUS0011,Business_11,Healthcare,Houston,520839.75,438,4.3,1986
BUS0012,Business_12,Education,Houston,973675.72,22,4.3,1982
BUS0013,Business_13,Retail,Houston,944507.09,155,4.4,2016
BUS0014,Business_14,Healthcare,New York,687775.4,15,2.3,2021
BUS0015,Business_15,Education,Miami,796514.37,168,4.1,2004
BUS0016,Business_16,Education,Los Angeles,352797.73,138,3.4,2022
BUS0017,Business_17,Healthcare,New York,445508.4,492,3.9,2011
BUS0018,Business_18,Education,Houston,191756.73,58,2.5,2013
BUS0019,Business_19,Finance,New York,407637.18,42,2.8,2019
BUS0020,Business_20,Retail,Miami,766695.29,180,1.4,2017
BUS0021,Business_21,Finance,Los Angeles,499842.88,92,3.6,1996
BUS0022,Business_22,Finance,Los Angeles,856873.89,459,1.0,1983
BUS0023,Business_23,Technology,Seattle,335699.6,197,2.4,2003
BUS0024,Business_24,Retail,Los Angeles,722197.96,87,3.5,1994
BUS0025,Business_25,Hospitality,New York,815487.35,379,4.2,2018
BUS0026,Business_26,Technology,Seattle,919004.12,43,3.2,1984
BUS0027,Business_27,Retail,New York,584266.65,285,2.5,1980
BUS0028,Business_28,Retail,Seattle,969396.88,487,1.4,1993
BUS0029,Business_29,Hospitality,New York,579422.42,464,4.6,2021
BUS0030,Business_30,Education,New York,177388.11,52,3.0,2011
BUS0031,Business_31,Finance,Los Angeles,280715.59,178,4.3,1985
BUS0032,Business_32,Finance,Los Angeles,243169.9,309,4.0,2009
BUS0033,Business_33,Education,Houston,664370.56,319,2.6,2020
BUS0034,Business_34,Hospitality,New York,926114.8,462,2.0,1983
BUS0035,Business_35,Technology,New York,854776.72,252,1.8,2003
BUS0036,Business_36,Education,Miami,137840.8,365,1.5,2015
