Month with Year,revenue
2018-01-01,1458
2018-02-01,1102
2018-03-01,1584
2018-04-01,1676
2018-05-01,1461
2018-06-01,1491
2018-07-01,1376
2018-08-01,1209
2018-09-01,1668
2018-10-01,1910
2018-11-01,2297
2018-12-01,1828
2019-01-01,1704
2019-02-01,1299
2019-03-01,1978
2019-04-01,1788
2019-05-01,1841
2019-06-01,1837
2019-07-01,1601
2019-08-01,1512
2019-09-01,1915
2019-10-01,2434
2019-11-01,2993
2019-12-01,2047
2020-01-01,2034
2020-02-01,1654
2020-03-01,2059
2020-04-01,2541
2020-05-01,2288
2020-06-01,2165
2020-07-01,2073
2020-08-01,1898
2020-09-01,2604
2020-10-01,3188
2020-11-01,4457
2020-12-01,2788
2021-01-01,3222
2021-02-01,2293
2021-03-01,2780
2021-04-01,3145
2021-05-01,3257
2021-06-01,3413
2021-07-01,2493
2021-08-01,2336
2021-09-01,2922
2021-10-01,3826
2021-11-01,5156
2021-12-01,3496
2022-01-01,2961
2022-02-01,2387
2022-03-01,3051
2022-04-01,3579
2022-05-01,3278
2022-06-01,3253
2022-07-01,2731
2022-08-01,2417
2022-09-01,3525
2022-10-01,3707
2022-11-01,4858
2022-12-01,3476
