A,B,C,Z
33.03104064,38.91561779,18.95626577,0
31.34711429,36.82659527,21.50556931,0
35.81007457,31.82692804,33.31434887,1
38.35958044,31.87942755,35.00151291,1
31.91483364,32.90812677,22.10991813,0
21.23733696,12.13963675,13.76409708,0
23.68031527,23.41717049,39.44156854,1
27.21259966,33.02451308,40.16902315,1
27.61468808,22.09608942,32.41974847,1
17.40708972,26.56256478,43.54762504,1
31.86382978,43.73384151,42.58880368,1
31.45317496,35.09333107,19.55806882,0
26.14313861,23.65241969,16.79123,0
30.92843161,35.22393016,19.89437911,0
33.69161198,36.47943527,40.59717429,1
26.15793129,22.59930498,25.84179309,0
31.35605409,31.00978287,42.516492,1
32.38165827,37.37046249,17.7891162,0
30.14657736,33.92517887,18.73102772,0
35.72644495,29.34571307,31.21318177,1
32.96830775,38.57330133,21.245796,0
23.31352369,23.5577118,36.6143525,1
34.1039947,44.5727722,20.71054885,0
35.50622989,30.04644835,32.65003661,1
33.00525001,37.00225754,22.68596017,0
30.81328661,31.20983527,27.77992107,0
34.94326199,36.57206895,23.11543678,0
41.29355078,45.23890863,43.03888487,1
31.70817233,32.85461063,15.48290918,0
28.25307357,26.22491829,18.32547013,0
28.35163267,26.4896277,27.59368216,0
34.41083355,36.94330126,40.44547144,1
24.68183559,17.22120962,21.52852691,0
25.89015721,26.96287883,19.82926471,0
44.76706273,46.73447562,40.21767557,1
29.9360679,30.98937232,36.47155013,1
23.13721274,15.77005574,30.48177053,1
18.90298085,24.76241092,37.67539873,1
38.17451165,48.29161464,23.91944752,0
34.31978763,37.03969926,20.83226975,0
31.43607621,37.11129518,38.44253616,1
29.96096201,30.87535939,24.22676176,0
38.52370575,35.89027728,31.5719423,1
31.39603447,33.29060764,21.02948422,0
31.47766772,23.29433141,32.21498835,1
30.78627196,32.14506911,21.56969724,0
49.84392553,40.95414595,32.08666673,1
44.94543402,42.5833054,37.0382634,1
35.14018367,40.20180111,42.89588939,1
32.89971713,28.19928742,34.47218823,1
48.08004913,42.11479881,42.07826794,1
24.75065575,23.92866193,20.08326617,0
33.67509538,39.79452895,19.60705957,0
21.27923233,28.50544397,46.52258714,1
29.17232783,31.78278806,23.48414144,0
30.70128769,32.25467823,17.26297977,0
37.53096364,24.91152217,28.72573753,1
29.00118609,32.39594556,20.32151007,0
27.10504156,22.85358038,21.484676,0
37.86662116,30.8395827,34.13452873,1
36.72274228,35.45931171,41.36720283,1
36.19110806,32.46283938,38.90821129,1
31.25714619,36.43416355,21.46344205,0
30.57791132,27.17440016,35.73307849,1
28.36594677,26.387361,33.90924748,1
31.39776662,34.10512407,17.19932063,0
18.34232114,10,21.52004661,0
19.2173354,30.23555869,44.2656057,1
46.56960978,43.85197992,40.32706317,1
31.13589213,24.8116579,34.33512419,1
26.87762797,26.77330302,23.94211153,0
34.65189102,40.62926912,17.28202708,0
28.33556401,30.95391313,39.07783922,1
32.80298622,39.29256345,22.92623091,0
30.59421486,36.53522722,15.93441786,0
40.36962281,33.04677381,31.30812473,1
31.46282825,27.54000608,36.00658897,1
20.66616369,27.91436393,41.79820043,1
35.79638796,43.29458849,46.19671968,1
31.20853775,36.02510033,16.52340755,0
28.67158008,29.90751452,38.1048276,1
35.17495715,39.30719612,39.98021166,1
28.29886484,28.00149972,18.73294333,0
22.61564458,24.05828239,33.79915835,1
35.2314948,32.52155943,36.04978097,1
27.23293517,38.38062099,44.35600243,1
22.56033824,17.05230608,17.677486,0
40.48558274,50,42.12559448,1
23.89808882,28.41473433,43.07429999,1
28.22681708,28.32944422,39.52102665,1
28.9273081,30.51455493,39.06900106,1
30.54322275,31.92507074,42.6074444,1
30.48426769,35.88372021,40.10989618,1
18.60518756,22.65390876,37.25875667,1
25.20685984,30.14600361,43.84832127,1
32.14479724,37.36767798,14.73779756,0
28.77053125,31.39097455,22.08683967,0
31.19675432,31.00098661,21.36990071,0
25.3751066,20.18910044,23.96560424,0
24.06327788,23.09042952,19.78325045,0
28.39169935,25.7155143,23.51321572,0
31.47409832,36.62621137,15.19481533,0
25.76662784,23.95527703,20.51691163,0
33.63016956,37.35908392,21.1144797,0
30.11441264,30.50440257,40.24916263,1
27.2667504,36.58998842,45.30716016,1
31.9065903,36.83326399,17.75709232,0
30.79300574,35.38076667,17.425907,0
35.01762901,28.20009016,34.34750191,1
28.50160914,28.26407875,20.94537374,0
45.62070328,44.29020349,38.69372574,1
32.68752621,33.47220146,25.72435041,0
30.04960546,29.92682908,18.31968527,0
12.31949285,18.86854469,36.71997327,1
28.90033423,34.47999442,36.07470594,1
31.09881425,38.23586559,45.50850768,1
34.39131384,35.65067307,22.09341521,0
28.11544679,28.75465274,37.74952317,1
24.11177544,23.21768365,33.85957802,1
37.41299579,47.79372508,23.52742044,0
16.94918652,19.50572026,37.31425461,1
17.52169116,22.71762999,38.48341501,1
37.07917073,32.97224602,35.25186067,1
31.38415322,36.79347832,36.90718458,1
28.62041274,16.89115639,30.09299691,1
35.88706051,30.49187284,36.59857964,1
28.75884631,31.62521397,28.13827411,0
35.71883971,35.35314253,34.254953,1
38.64932595,32.60092469,36.22916042,1
22.81110094,26.75656456,38.62831885,1
42.02047722,40.36697,40.1543933,1
34.14717113,44.09646723,18.9916373,0
32.43893143,34.64921481,25.17783426,0
29.17364862,30.41543588,18.23899498,0
38.17018997,36.52284863,38.47733912,1
18.56593567,21.34362422,43.07119463,1
30.13536935,28.97025143,23.45606366,0
20.57677019,35.19937956,50,1
35.14277311,28.83262442,32.56454186,1
34.90812651,41.4757326,16.03746119,0
30.3521813,31.91632453,19.53110016,0
31.69409545,35.96974058,17.43986345,0
20.60907091,26.38892714,40.71579351,1
26.00050103,27.92205358,35.29890782,1
32.33367972,35.63969635,22.77725415,0
30.92394112,38.59197191,40.19028221,1
35.02880135,37.77515691,39.32666348,1
31.42070602,32.31891357,21.57830202,0
34.539779,29.14815868,31.77247773,1
29.58743318,31.39439837,20.24395134,0
26.50523254,34.49194377,39.78313304,1
28.71608142,26.92141754,31.96491114,1
32.73240189,26.96573204,32.84613528,1
24.21904305,31.86596036,39.41918212,1
20.82216205,13.13622479,16.66736758,0
24.35207665,18.38485253,22.10219723,0
32.4628497,35.86106145,20.05424147,0
25.29178758,24.9162968,22.03683357,0
30.71800763,29.99008244,17.40104854,0
36.77882894,36.480568,35.89810914,1
33.72296308,38.06265461,15.72993674,0
27.40684365,32.40228054,38.6662843,1
34.95589322,38.53661165,19.27257519,0
37.47306942,34.12958838,35.84221961,1
36.51403912,44.70939811,20.73018188,0
29.45672043,34.30595236,38.87630239,1
39.94438382,33.16756259,33.07847415,1
29.12519474,35.04378209,40.05305423,1
32.88797905,37.7715609,22.2398025,0
16.88025642,19.87287735,38.86150849,1
33.0165538,31.17883711,36.95139669,1
30.54020365,32.52397764,17.38150751,0
34.00469793,27.49130866,31.95261699,1
30.42581377,36.3048362,14.30715451,0
27.49893746,26.64920074,22.51187438,0
34.79775859,34.19105521,30.85084337,0
18.82779284,23.18704329,33.95838609,1
27.67233697,29.06396337,18.55583797,0
25.81499897,22.93850723,36.9027041,1
23.94305884,22.33996785,21.56204466,0
32.52334409,38.66943806,45.11205159,1
26.588378,25.16431427,21.13223683,0
25.51213767,23.38925919,33.63388989,1
23.5838312,16.04518152,22.84151575,0
28.14472279,33.38093727,20.20710257,0
25.16886271,31.54522105,41.18339725,1
24.06478853,23.87214226,37.22503493,1
25.72164077,28.64222426,37.13516953,1
22.75380009,15.17689834,22.15385613,0
35.0839838,44.84132755,45.47240895,1
29.84563167,32.90710268,41.9445442,1
26.13228354,28.15794596,11.87159927,0
33.59287476,38.41789522,23.03031128,0
32.02436058,31.703399,37.35499432,1
26.23843146,26.47562636,19.87845654,0
28.13164479,27.77907353,20.57013992,0
28.02732175,26.58637867,21.35150719,0
26.36461209,29.557372,16.67070902,0
34.70415218,35.40613138,40.00459169,1
28.20690397,20.04139491,32.45006426,1
31.13424574,29.27843881,35.36571087,1
32.10678937,30.19610489,22.36644036,0
27.38724462,24.85263609,23.69540632,0
19.55306429,26.3324893,44.31682178,1
19.90394301,21.13680799,36.0529327,1
24.78397795,21.09114025,19.12624676,0
32.44398445,37.16541889,22.52673153,0
29.58489048,37.97368266,43.92205133,1
27.1412969,34.29857422,43.19383777,1
29.09853241,29.32449093,22.5030421,0
42.49514874,48.5853587,43.74790781,1
31.05388561,21.87838136,34.39632742,1
29.59564801,27.22204816,28.71190671,0
23.11500867,18.65947191,19.15401529,0
38.78938636,34.4211142,35.56216262,1
26.05631998,23.57777526,18.39204575,0
22.39186364,17.94125437,21.27745086,0
31.9690281,35.45632627,39.85836458,1
32.80420879,37.58987672,41.84080275,1
38.24980646,49.11491649,10.93921806,0
24.93621375,24.79263107,38.97717102,1
21.87749297,19.52781756,34.54631181,1
29.88163457,24.84963588,36.03379712,1
30.60225004,30.80643081,25.86895807,0
