No.,HighSchool,Economic_Status,Latin_Honor,PreBoard_Exam,FAR,CFAS,IA1,IA2,IA3,CostAcc,SpecTran,BusCom,GovAcc,AudTheo,AudProb 1,AudProb 2,AudSpec,AudCIS,ManSci,StratCost,EconDev,FinMar,GERC,ManEcon,FinMan,AIS,StraBA,ObliCon,BusLaw,RFBT,InTax,BusTax,Integ1,Integ2,LECPA_Results
1,Non-K-12,"P43,828 - P76,669",YES,PASSED,1.75,1.75,2.25,2,1.75,1.5,1.75,2,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.5,1.75,1.75,2.25,2,1.5,2,PASSED
2,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.75,2.25,2,2,2.25,1.75,2,2,1.75,1.75,1.75,1.75,1.75,2,2,2,1.5,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.5,2,PASSED
3,Non-K-12,"Less than P10,957",NO,PASSED,1.75,2,1.75,1.5,2,1.75,2,2,1.75,2.25,2,2,2,2,2.25,2,1.5,2,2.25,1.75,1.75,1.75,1.75,1.5,1.75,1.75,2,2,1.75,2.25,PASSED
4,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.25,2,1.75,1.75,2,1.75,1.75,2,1.5,1.75,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.75,2,2.25,2,1.75,2,PASSED
5,Non-K-12,"Less than P10,957",YES,PASSED,1.75,2,1.25,1.5,2,1.25,1.75,1.5,1.75,1.75,1.75,1.75,1.75,2,2,1.5,1.5,1.75,1.75,1.75,1.25,1.75,1.75,1,1.25,1.5,1.75,1.75,1.5,2,PASSED
6,Non-K-12," P76,669 - P131,484",NO,FAILED,2,2.25,2,2,2.25,1.75,2,2,2.5,2,1.75,1.75,1.75,2.5,2.5,2,1.75,2,2,2.25,1.75,2,2.25,2.5,2,2.25,2.25,2,2.25,2.75,FAILED
7,Non-K-12," P76,669 - P131,484",YES,FAILED,1.75,2,1.75,1.75,2,1,1.75,2,1.75,2,2,2,2,2,1.75,1.75,1.75,1.5,2,2,1.5,1.75,2,1.25,1.75,1.75,1.75,2,1.75,2.25,FAILED
8,Non-K-12,"P21,194 - P43,828",NO,FAILED,2,2,2,1.75,2,1.5,2,2,1.75,1.75,2,2,2,1.5,2.75,2,1.5,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.5,2,2.5,2.25,1.75,2.25,FAILED
9,Non-K-12,"P21,194 - P43,828",YES,FAILED,1.75,2.25,1.75,1.5,2.25,1.25,2,2,1.75,2,1.75,1.75,1.75,1.75,1.75,2,1.5,1.75,2,1.75,1.5,1.75,2,1.75,1.5,2,2,1.75,1.75,2.25,FAILED
10,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.25,1.5,1.75,1.5,1.25,1.25,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.5,2,2,2.25,1.5,1.75,2,1.75,1.5,2.5,1.75,1.5,1.5,2,1.75,1.5,2,PASSED
