date,revenue,discount_rate,coupon_rate
1/1/2018,"6,270,839",34.27%,1.09%
2/1/2018,"8,922,076",30.87%,1.08%
3/1/2018,"8,446,101",28.11%,1.01%
4/1/2018,"7,785,798",27.32%,0.96%
5/1/2018,"6,375,303",25.70%,0.90%
6/1/2018,"6,095,418",25.02%,0.87%
7/1/2018,"7,661,844",25.33%,1.06%
8/1/2018,"7,036,112",24.83%,1.03%
9/1/2018,"7,100,900",25.11%,1.00%
10/1/2018,"7,148,865",25.16%,0.91%
11/1/2018,"7,013,113",26.55%,0.90%
12/1/2018,"6,094,297",25.81%,0.94%
13/1/2018,"5,647,838",23.46%,0.93%
14/1/2018,"7,377,005",23.76%,1.11%
15/1/2018,"6,736,977",24.39%,0.99%
16/1/2018,"7,194,062",26.07%,0.98%
17/1/2018,"7,124,206",24.64%,0.93%
18/1/2018,"6,670,106",24.99%,0.93%
19/1/2018,"5,805,801",25.60%,0.98%
20/1/2018,"5,792,547",24.79%,0.95%
21/1/2018,"7,430,284",23.32%,1.07%
22/1/2018,"6,538,657",23.36%,1.02%
23/1/2018,"6,973,820",27.27%,1.05%
24/1/2018,"6,555,452",25.33%,0.93%
25/1/2018,"6,199,426",25.37%,0.92%
26/1/2018,"7,464,262",29.88%,7.90%
27/1/2018,"6,570,872",26.94%,6.65%
28/1/2018,"9,382,441",26.40%,7.30%
29/1/2018,"5,902,767",20.10%,0.95%
30/1/2018,"6,047,600",20.12%,0.89%
31/1/2018,"6,460,824",20.34%,0.91%
1/2/2018,"6,108,498",20.17%,0.83%
2/2/2018,"5,203,061",19.23%,0.85%
3/2/2018,"5,445,384",18.19%,0.85%
4/2/2018,"6,537,030",14.86%,1.01%
5/2/2018,"6,024,455",19.39%,0.98%
6/2/2018,"6,430,525",19.23%,0.91%
7/2/2018,"5,934,381",18.51%,0.86%
8/2/2018,"5,890,259",22.04%,0.90%
9/2/2018,"5,648,454",24.59%,0.93%
10/2/2018,"5,153,653",21.47%,0.92%
11/2/2018,"6,477,649",18.89%,1.08%
12/2/2018,"5,914,438",19.79%,1.11%
13/2/2018,"5,975,411",23.59%,0.97%
14/2/2018,"5,918,666",20.16%,0.93%
15/2/2018,"6,468,033",23.48%,0.87%
16/2/2018,"5,431,671",23.00%,0.86%
17/2/2018,"5,788,163",21.08%,0.89%
18/2/2018,"6,766,567",17.84%,1.01%
19/2/2018,"6,225,450",19.65%,1.01%
20/2/2018,"6,278,211",18.91%,0.92%
21/2/2018,"6,497,016",22.81%,0.95%
22/2/2018,"6,260,193",21.31%,0.91%
23/2/2018,"5,233,502",20.64%,0.90%
24/2/2018,"5,751,533",24.10%,1.02%
25/2/2018,"7,286,600",18.36%,1.35%
26/2/2018,"6,221,031",15.40%,1.03%
27/2/2018,"6,777,082",18.72%,1.00%
28/2/2018,"6,875,978",17.32%,1.18%
1/3/2018,"6,941,968",18.01%,1.36%
2/3/2018,"6,042,518",17.33%,1.44%
3/3/2018,"6,368,153",15.67%,1.48%
4/3/2018,"8,294,406",14.38%,1.67%
5/3/2018,"7,119,386",14.25%,1.56%
6/3/2018,"7,426,038",15.54%,1.41%
7/3/2018,"8,068,561",16.55%,1.28%
8/3/2018,"6,930,138",15.15%,1.22%
9/3/2018,"7,086,706",12.43%,4.89%
10/3/2018,"7,827,741",11.79%,5.48%
11/3/2018,"11,719,496",8.89%,7.06%
12/3/2018,"7,291,120",10.41%,1.38%
13/3/2018,"7,390,332",13.57%,1.18%
14/3/2018,"7,750,793",13.64%,1.19%
15/3/2018,"7,071,170",14.00%,1.09%
16/3/2018,"6,524,949",14.28%,1.06%
17/3/2018,"6,954,426",13.95%,0.88%
18/3/2018,"8,688,810",11.03%,1.11%
19/3/2018,"7,237,749",12.26%,1.03%
20/3/2018,"6,869,713",11.53%,0.97%
21/3/2018,"7,146,951",12.30%,0.98%
22/3/2018,"7,262,396",14.31%,0.95%
23/3/2018,"6,723,698",16.34%,0.90%
24/3/2018,"6,832,878",15.61%,0.89%
25/3/2018,"9,126,037",13.48%,1.16%
26/3/2018,"8,267,878",12.86%,1.15%
27/3/2018,"7,604,677",13.32%,1.03%
28/3/2018,"6,923,463",13.54%,0.94%
29/3/2018,"6,030,032",13.69%,0.89%
30/3/2018,"6,012,156",12.97%,0.98%
31/3/2018,"5,674,855",12.11%,1.12%
1/4/2018,"5,917,714",11.39%,1.06%
2/4/2018,"7,403,582",10.32%,0.90%
3/4/2018,"7,886,915",11.33%,0.70%
4/4/2018,"7,717,320",9.33%,0.63%
5/4/2018,"7,682,788",11.11%,0.66%
6/4/2018,"6,567,255",11.04%,0.66%
7/4/2018,"6,201,919",11.11%,0.63%
8/4/2018,"10,544,111",12.47%,0.92%
9/4/2018,"9,937,207",12.15%,0.98%
10/4/2018,"9,492,506",12.24%,0.90%
11/4/2018,"9,672,925",13.55%,0.79%
12/4/2018,"8,795,241",13.09%,0.81%
13/4/2018,"7,480,508",13.18%,0.79%
14/4/2018,"7,287,952",13.59%,0.78%
15/4/2018,"10,944,709",13.43%,1.06%
16/4/2018,"9,885,508",13.64%,1.03%
17/4/2018,"9,208,247",12.44%,0.91%
18/4/2018,"9,587,954",15.56%,0.82%
19/4/2018,"9,063,184",13.44%,0.86%
20/4/2018,"7,441,788",12.93%,0.97%
21/4/2018,"7,163,238",11.94%,1.02%
22/4/2018,"10,860,304",11.33%,1.33%
23/4/2018,"10,253,246",13.00%,1.13%
24/4/2018,"9,130,832",12.08%,1.07%
25/4/2018,"8,136,607",9.72%,0.95%
