MATAVERAGE,ECEAVERAGE,ELEAVERAGE,VR,Passer
2.7,2.925,2.75,A,NO
2.9,2.65,2.333333333,A,NO
1.58,1.725,1.333333333,AA,YES
2.43,2.725,2.416666667,AA,YES
2.25,2.375,2.5,A,NO
2.48,3,2.916666667,AA,NO
2.6,2.65,2.75,AA,YES
2.33,2.425,1.833333333,AA,YES
2.33,2.75,2,A,NO
2.18,2.275,2,AA,YES
2.65,2.85,2.5,A,NO
1.8,1.8,2.083333333,AA,YES
2.35,2.425,1.833333333,AA,YES
1.93,2,1.583333333,AA,YES
1.58,1.725,1.333333333,AA,YES
2.45,2.425,2.583333333,AA,YES
2.28,2.225,1.916666667,AA,YES
2.45,2.35,2.333333333,A,NO
2.78,2.8,2.583333333,A,NO
2.62,2.75,2.583333333,A,NO
2.1,2.175,1.75,AA,YES
1.98,2.4,2.083333333,AA,YES
2.05,2.35,1.75,AA,YES
2.83,3,2.833333333,A,NO
2.33,2.85,2.916666667,A,NO
2.38,2.425,1.833333333,AA,YES
1.53,1.65,1.25,AA,YES
2.15,2.5,2.333333333,A,YES
2.4,2.65,2,AA,YES
2.23,2.55,2.5,A,NO
2.78,2.85,2.916666667,A,NO
2.38,2.55,2.5,AA,YES
1.4,1.5,1.666666667,AA,YES
2.15,2.2,1.583333333,AA,YES
2.43,2.525,2,AA,NO
2.48,2.675,2.333333333,AA,YES
2.53,2.675,2.666666667,A,NO
2.65,2.7,2.666666667,A,NO
2.5,2.625,2.666666667,AA,YES
2.23,2.35,2,AA,YES
2.8,2.85,2.5,AA,NO
1.88,2.15,1.583333333,AA,YES
2.38,2.425,1.833333333,AA,YES
2.78,2.95,2.583333333,A,NO
2.83,2.825,2.583333333,A,NO
2.48,2.875,2.583333333,A,NO
1.85,2.25,1.583333333,AA,YES
1.98,2.4,2.083333333,AA,YES
2.83,2.85,2.583333333,BA,NO
2.15,2.225,2.25,A,YES
2.63,2.55,2.5,AA,YES
2.1,2.425,2.083333333,AA,YES
2.18,2.2,1.583333333,AA,YES
2.78,2.925,2.916666667,BA,NO
1.88,2.15,1.583333333,AA,YES
2.2,2.725,2.333333333,A,NO
1.83,1.65,1.583333333,AA,YES
2.33,2.4,2.5,A,NO
2.75,2.625,2.416666667,BA,NO
1.23,1.425,1.666666667,AA,YES
1.65,1.65,1.583333333,AA,YES
2.48,2.5,2.25,AA,YES
1.78,2.05,1.666666667,AA,YES
2.23,2.35,2,AA,YES
2.3,2.55,2.166666667,A,NO
2.23,1.975,1.666666667,AA,YES
2.4,2.35,2.29,A,NO
2.08,2.25,2.166666667,AA,YES
1.53,1.45,1.25,AA,YES
2.48,2.825,2.583333333,A,NO
2.33,2.775,2.666666667,A,NO
2.15,2.45,2,AA,YES
2.78,2.625,2.75,AA,NO
2.43,2.375,2.5,AA,YES
2.13,2.55,2.166666667,A,NO
1.48,1.5,1.583333333,AA,YES
2.65,2.7,2.666666667,A,NO
2.1,2.425,2.083333333,AA,YES
1.48,1.5,1.583333333,AA,YES
2.58,2.725,2.583333333,A,NO
2.68,2.875,2.916666667,A,NO
2.13,2.05,1.916666667,AA,YES
2.5,2.875,2.583333333,AA,NO
2.48,2.825,2.583333333,A,NO
2.4,2.475,2.5,A,NO
2.1,2.175,1.75,AA,YES
1.63,1.55,1.166666667,AA,YES
2.65,2.925,2.916666667,AA,NO
1.98,2.025,1.5,AA,YES
2.18,2.375,2.666666667,AA,YES
2.13,2.05,1.916666667,AA,YES
1.63,1.55,1.166666667,AA,YES
1.98,2.025,1.5,AA,YES
2.53,2.675,2.666666667,AA,NO
2.53,2.75,2.75,A,NO
1.58,1.725,1.25,AA,YES
2.63,2.85,2.5,A,NO
1.78,1.8,1.833333333,AA,YES
1.98,2.4,2.083333333,AA,YES
2.73,2.8,2.666666667,A,NO
2.55,2.525,2.25,AA,YES
2.65,2.525,2.083333333,AA,YES
2.18,2.375,2,AA,YES
2.75,3,2.666666667,A,NO
2.4,2.35,2.386666667,A,NO
2.78,2.875,2.916666667,A,NO
2.6,2.675,2.666666667,A,NO
2.5,2.225,2.25,AA,YES
2.73,2.55,2.5,A,NO
2.35,2.9,2.916666667,A,NO
2.2,2.725,2.333333333,A,NO
2.58,2.85,2.25,A,NO
2.63,2.775,2.833333333,A,NO
2.65,2.45,2.166666667,A,NO
2.5,2.225,2.333333333,AA,YES
1.68,1.55,1.166666667,AA,YES
2.8,2.75,2.75,A,NO
2.28,2.675,2.333333333,AA,YES
2.1,2.55,2.5,A,NO
2.38,2.675,2.333333333,AA,YES
1.9,2.025,1.75,AA,YES
2.6,2.85,2.416666667,A,NO
2.75,2.825,2.666666667,A,NO
2.23,2.375,2.5,A,NO
2.33,2.375,2.166666667,AA,NO
2.58,2.65,2,AA,NO
2.1,2.175,1.75,A,YES
2.48,2.5,2.25,AA,YES
1.83,1.65,1.583333333,AA,YES
2.48,2.675,2.333333333,A,NO
1.98,2.175,2.083333333,AA,YES
2.35,2.425,2.083333333,A,NO
2.4,2.475,2.083333333,A,NO
1.98,2.175,1.583333333,AA,YES
1.85,2.25,1.583333333,AA,YES
2.85,2.875,2.583333333,A,NO
2.28,2.55,2.166666667,A,NO
2.25,2.175,2,AA,YES
2.53,2.55,2.416666667,AA,YES
2.88,2.9,2.833333333,A,NO
1.58,1.725,1.333333333,AA,YES
1.73,1.725,1.75,AA,YES
2.63,2.875,2.75,A,NO
1.78,1.975,1.5,AA,YES
2.68,2.875,2.916666667,A,NO
2.85,2.875,2.583333333,A,NO
1.58,1.675,1.833333333,AA,YES
2.75,2.725,2.666666667,A,NO
2.15,2.225,2.25,AA,YES
2.43,2.325,2.25,AA,YES
2.63,2.775,2.75,A,NO
2.78,2.875,2.916666667,A,NO
2.8,2.625,2.916666667,A,NO
2.08,2.25,2.166666667,AA,YES
2.88,2.9,2.833333333,A,NO
2.88,3,2.75,A,NO
2.53,2.75,2.75,A,NO
2.75,2.825,2.5,A,NO
1.83,1.65,1.583333333,AA,YES
2.68,2.75,2.916666667,A,NO
2.7,2.65,2.166666667,AA,YES
1.75,1.9,1.666666667,AA,YES
2.63,2.775,2.833333333,AA,NO
2.75,2.55,3,A,NO
2.63,2.9,2.833333333,AA,NO
2.33,2.65,2.166666667,A,NO
2.13,2.05,1.916666667,AA,YES
2.83,2.925,2.5,A,NO
2.68,2.625,2.75,A,NO
1.63,1.55,1.166666667,AA,YES
2.83,2.975,2.833333333,A,NO
2.8,2.65,2.833333333,A,NO
2.83,2.85,2.666666667,A,NO
2.7,2.7,2.25,AA,NO
1.78,2.05,1.666666667,AA,YES
2.48,2.675,2.333333333,AA,YES
1.9,2.025,1.75,AA,YES
2.88,3,2.833333333,A,NO
1.83,1.65,1.583333333,AA,YES
2.63,2.7,2.666666667,A,NO
2.1,2.6,2.25,AA,YES
2.75,2.625,2.75,A,NO
2.73,2.85,2.583333333,A,NO
2.7,2.625,2.416666667,AA,NO
2.2,2.55,2.166666667,A,NO
2.83,2.975,2.833333333,AA,NO
2.73,2.9,2.75,A,NO
2.58,2.8,2.75,AA,NO
2.65,2.925,2.916666667,A,NO
2.48,2.225,2.333333333,AA,YES
2.5,2.7,2.666666667,AA,YES
2.68,2.875,2.916666667,A,NO
2.45,2.825,2.75,AA,YES
2.38,2.375,2.5,A,NO
