No.,Residence,ALGEBRA,TRIGO,ADVALGEBRA,ANAGEO,DIFCAL,INTCAL,DIFEQU,STATS,ADVENGMAT,NUMERICAL,MATAVERAGE,PHY01A,PHY02A,ENG01,ENG02A,ENG03A,ENGECO,VECTOR,ELXDEVICE,ELXCIRCUITS,SIGNALS,PRINCO,LCST,DIGICOM,TRANS,MICRO,BROADCAST,CONTROLSYS,ECEAVERAGE,CIRC1,ELEMAG,CIRC2,ELEAVERAGE,VA,VR,FR,QR,SCHEME,On-Time,WithHonors,Passer
1,lucban,3,3,2.75,2.25,3,3,2.75,2.75,2.25,2.25,2.7,3,3,2.75,3,3,3,3,3,3,3,3,3,2.75,2.75,3,2.75,3,2.925,3,3,2.25,2.75,A,A,AA,A,A,NO,NO,NO
2,luisiana,2.75,3,3,3,3,2.75,3,3,3,2.5,2.9,3,3,2.5,3,2.25,3,2,2.25,3,3,3,1.75,1.75,3,3,3,2.75,2.65,3,2.25,1.75,2.333333333,A,A,A,A,A,NO,NO,NO
3,lucban,1.5,1.5,1.25,1.25,1.75,1.5,1.75,1.75,1.5,2,1.58,1.75,1.75,1.25,1.5,2,1.75,2.25,1.5,1.5,1.5,1.5,1.75,1.25,1.75,2.25,2.25,2,1.725,1.5,1,1.5,1.333333333,AA,AA,AA,AA,A,YES,YES,YES
4,lucena,2.25,2.5,2.25,3,2.25,2.5,2.75,3,2,1.75,2.43,2.75,3,2.25,3,2.25,3,2.5,3,3,3,2,3,1.75,2.75,3,3,2.75,2.725,3,2,2.25,2.416666667,A,AA,A,AA,A,NO,NO,YES
5,atimonan,2,2.25,2.25,2.25,2.5,2,2.5,3,1.75,2,2.25,2.75,2.5,3,1.75,3,2.5,3,2,2.5,2.5,1.75,2.25,2,2,3,3,2.75,2.375,2.5,2.75,2.25,2.5,AA,A,A,A,B,YES,NO,NO
6,lucena,2.5,2.25,3,3,3,2.25,2.5,2,2.25,2,2.48,2.75,2.5,3,3,2.5,3,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.916666667,A,AA,A,A,A,YES,NO,NO
7,lucban,2.5,2.25,3,3,2,3,2,3,2.25,3,2.6,2.75,3,3,2.25,3,2.5,2.75,2.25,3,2.25,3,2.75,2.5,3,3,2.25,2.5,2.65,2.75,3,2.5,2.75,AA,AA,A,AA,C,YES,NO,YES
8,luisiana,2,2.5,3,2.5,2.75,2.5,1.75,3,1.5,1.75,2.33,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,A,AA,B,NO,NO,YES
9,san antonio,2.75,2.5,2.75,2.5,2.5,2,2.25,1.75,2,2.25,2.33,2.25,2,2.5,2,2,2.5,2.25,2.25,2.5,3,3,3,3,3,2.25,3,2.5,2.75,2,2.25,1.75,2,AA,A,A,A,A,YES,NO,NO
10,tagkawayan,2.25,2.5,2.25,1.75,2.25,1.75,2.25,2.5,2,2.25,2.18,2.5,2.25,1.75,1.75,2.5,3,2.75,2.5,2.5,2.5,1.75,2.25,2,2,2,2.5,2.75,2.275,2,2,2,2,A,AA,A,AA,A,NO,NO,YES
11,majayjay,2.5,3,3,2.25,3,3,2.25,3,2.25,2.25,2.65,3,3,3,3,2.25,2.75,2,3,3,3,3,2.5,2.75,2.5,2.75,3,3,2.85,2.5,2.75,2.25,2.5,A,A,A,A,A,YES,NO,NO
12,tayabas,2.5,2,1.5,1.75,2,2,1.75,2,1.25,1.25,1.8,2.5,2,1.25,2,3,2,2.25,1.25,2.25,1,1.25,2,1.25,1.5,2.75,2.5,2.25,1.8,2.25,2.5,1.5,2.083333333,A,AA,AA,AA,A,NO,NO,YES
