unique_id,ds,Exogenous1,Exogenous2
BE,12/31/2016 0:00,64108,70318
BE,12/31/2016 1:00,62492,67898
BE,12/31/2016 2:00,61571,68379
BE,12/31/2016 3:00,60381,64972
BE,12/31/2016 4:00,60298,62900
BE,12/31/2016 5:00,60339,62364
BE,12/31/2016 6:00,62576,64242
BE,12/31/2016 7:00,63732,65884
BE,12/31/2016 8:00,66235,68217
BE,12/31/2016 9:00,66801,69921
BE,12/31/2016 10:00,66964,72069
BE,12/31/2016 11:00,66667,72328
BE,12/31/2016 12:00,66145,72493
BE,12/31/2016 13:00,65052,74228
BE,12/31/2016 14:00,63905,70369
BE,12/31/2016 15:00,63626,67987
BE,12/31/2016 16:00,63817,66692
BE,12/31/2016 17:00,65908,68634
BE,12/31/2016 18:00,69289,72362
BE,12/31/2016 19:00,70329,73957
BE,12/31/2016 20:00,69121,72544
BE,12/31/2016 21:00,66647,69451
BE,12/31/2016 22:00,65886,67823
BE,12/31/2016 23:00,66846,72876
DE,12/31/2017 0:00,1392.25,14744.5
DE,12/31/2017 1:00,1289,13906
DE,12/31/2017 2:00,1206.25,13579
DE,12/31/2017 3:00,1120.5,13302.75
DE,12/31/2017 4:00,1053.25,13232.5
DE,12/31/2017 5:00,1039.75,12631.75
DE,12/31/2017 6:00,1062,10718.25
DE,12/31/2017 7:00,1101.25,10753.75
DE,12/31/2017 8:00,1163.5,12495.75
DE,12/31/2017 9:00,1262.25,14335.5
DE,12/31/2017 10:00,1364,15218
DE,12/31/2017 11:00,1455.75,16021.75
DE,12/31/2017 12:00,1538.75,16549.75
DE,12/31/2017 13:00,1578.25,15791.75
DE,12/31/2017 14:00,1578.25,15209
DE,12/31/2017 15:00,1537,14991.25
DE,12/31/2017 16:00,1482.25,15601.75
DE,12/31/2017 17:00,1422.25,16954.5
DE,12/31/2017 18:00,1352,17005.75
DE,12/31/2017 19:00,1300,16601
DE,12/31/2017 20:00,1261,15977.75
DE,12/31/2017 21:00,1243.25,15715
DE,12/31/2017 22:00,1250.5,15876
DE,12/31/2017 23:00,1270.75,15130
FR,12/31/2016 0:00,64108,70318
FR,12/31/2016 1:00,62492,67898
FR,12/31/2016 2:00,61571,68379
FR,12/31/2016 3:00,60381,64972
FR,12/31/2016 4:00,60298,62900
FR,12/31/2016 5:00,60339,62364
FR,12/31/2016 6:00,62576,64242
FR,12/31/2016 7:00,63732,65884
FR,12/31/2016 8:00,66235,68217
FR,12/31/2016 9:00,66801,69921
FR,12/31/2016 10:00,66964,72069
FR,12/31/2016 11:00,66667,72328
FR,12/31/2016 12:00,66145,72493
FR,12/31/2016 13:00,65052,74228
FR,12/31/2016 14:00,63905,70369
FR,12/31/2016 15:00,63626,67987
FR,12/31/2016 16:00,63817,66692
FR,12/31/2016 17:00,65908,68634
FR,12/31/2016 18:00,69289,72362
FR,12/31/2016 19:00,70329,73957
FR,12/31/2016 20:00,69121,72544
FR,12/31/2016 21:00,66647,69451
FR,12/31/2016 22:00,65886,67823
FR,12/31/2016 23:00,66846,72876
NP,12/24/2018 0:00,49119,461
NP,12/24/2018 1:00,48115,484
NP,12/24/2018 2:00,47727,497
NP,12/24/2018 3:00,47673,509
NP,12/24/2018 4:00,47848,510
NP,12/24/2018 5:00,48673,511
NP,12/24/2018 6:00,50071,526
NP,12/24/2018 7:00,52259,528
NP,12/24/2018 8:00,54395,659
NP,12/24/2018 9:00,56071,897
NP,12/24/2018 10:00,56989,1140
NP,12/24/2018 11:00,56985,1342
NP,12/24/2018 12:00,56391,1547
NP,12/24/2018 13:00,55922,1618
NP,12/24/2018 14:00,55826,1664
NP,12/24/2018 15:00,56216,1768
NP,12/24/2018 16:00,56661,1964
NP,12/24/2018 17:00,55479,2092
NP,12/24/2018 18:00,53741,2243
NP,12/24/2018 19:00,52591,2544
NP,12/24/2018 20:00,51787,2785
NP,12/24/2018 21:00,51488,2919
NP,12/24/2018 22:00,50928,3119
NP,12/24/2018 23:00,49889,3306
PJM,12/24/2018 0:00,84069,10276
PJM,12/24/2018 1:00,81849,9809
PJM,12/24/2018 2:00,80671,9501
PJM,12/24/2018 3:00,80229,9337
PJM,12/24/2018 4:00,80734,9283
PJM,12/24/2018 5:00,82735,9369
PJM,12/24/2018 6:00,85937,9618
PJM,12/24/2018 7:00,89189,9987
PJM,12/24/2018 8:00,91449,10195
PJM,12/24/2018 9:00,93233,10378
PJM,12/24/2018 10:00,94025,10578
PJM,12/24/2018 11:00,93853,10677
PJM,12/24/2018 12:00,93122,10686
PJM,12/24/2018 13:00,92263,10631
PJM,12/24/2018 14:00,91663,10586
PJM,12/24/2018 15:00,91472,10547
PJM,12/24/2018 16:00,93134,10635
PJM,12/24/2018 17:00,96723,11154
PJM,12/24/2018 18:00,96387,11464
PJM,12/24/2018 19:00,94939,11246
PJM,12/24/2018 20:00,94035,11070
PJM,12/24/2018 21:00,92923,10963
PJM,12/24/2018 22:00,90970,10802
PJM,12/24/2018 23:00,88037,10419
