date,revenue,discount_rate,coupon_rate,discount_rate_lag1,coupon_rate_lag1
1/12/2022,,0.1831,0.0031,0.171,0.0032
2/12/2022,,0.1995,0.0036,0.1831,0.0031
3/12/2022,,0.2029,0.0032,0.1995,0.0036
4/12/2022,,0.1898,0.003,0.2029,0.0032
5/12/2022,,0.181,0.0042,0.1898,0.003
6/12/2022,,0.1778,0.0043,0.181,0.0042
7/12/2022,,0.1844,0.004,0.1778,0.0043
8/12/2022,,0.183,0.0038,0.1844,0.004
9/12/2022,,0.1689,0.003,0.183,0.0038
10/12/2022,,0.1717,0.0028,0.1689,0.003
11/12/2022,,0.1809,0.0321,0.1717,0.0028
12/12/2022,,0.1759,0.0303,0.1809,0.0321
13/12/2022,,0.1737,0.0306,0.1759,0.0303
14/12/2022,,0.197,0.0442,0.1737,0.0306
15/12/2022,,0.2056,0.0537,0.197,0.0442
16/12/2022,,0.224,0.0052,0.2056,0.0537
17/12/2022,,0.2324,0.0046,0.224,0.0052
18/12/2022,,0.2304,0.0048,0.2324,0.0046
19/12/2022,,0.2196,0.0049,0.2304,0.0048
20/12/2022,,0.2216,0.0049,0.2196,0.0049
21/12/2022,,0.2431,0.0038,0.2216,0.0049
22/12/2022,,0.2549,0.0035,0.2431,0.0038
23/12/2022,,0.2753,0.0037,0.2549,0.0035
24/12/2022,,0.2887,0.0047,0.2753,0.0037
25/12/2022,,0.304,0.0045,0.2887,0.0047
26/12/2022,,0.3106,0.0686,0.304,0.0045
27/12/2022,,0.2932,0.0609,0.3106,0.0686
28/12/2022,,0.2952,0.0641,0.2932,0.0609
29/12/2022,,0.2898,0.0048,0.2952,0.0641
30/12/2022,,0.286,0.004,0.2898,0.0048
31/12/2022,,0.2901,0.0072,0.286,0.004
