Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15
Apples,Bread,Butter,Onions,Bananas,Juice,Beef,Grapes,Fish,Rice,Cucumbers,Watermelon,Tomatoes,Chicken,Milk
Juice,Bread,Bananas,Milk,Blueberries,Chips,Cucumbers,Chicken,Strawberries,Carrots,Eggs,Soda,Grapes,Onions,Lettuce
Watermelon,Grapes,Bread,Butter,Lettuce,Bananas,Chicken,Apples,Milk,Beef,Cereal,Rice,Onions,Yogurt,Soda
Soda,Onions,Fish,Strawberries,Eggs,Milk,Cucumbers,Juice,Chips,Cereal,Blueberries,Beef,Tomatoes,Rice,Chicken
Yogurt,Watermelon,Tomatoes,Oranges,Butter,Bread,Pork,Rice,Apples,Chicken,Soda,Chips,Juice,Pasta,Bananas
Soda,Apples,Beef,Pasta,Oranges,Eggs,Bread,Chips,Rice,Juice,Pork,Cereal,Milk,Blueberries,Yogurt
Butter,Chips,Strawberries,Milk,Soda,Chicken,Potatoes,Cucumbers,Rice,Apples,Cereal,Onions,Bread,Watermelon,Lettuce
Bananas,Milk,Oranges,Watermelon,Eggs,Soda,Carrots,Butter,Beef,Apples,Rice,Juice,Bread,Pork,Cereal
Cheese,Bananas,Soda,Butter,Beef,Potatoes,Bread,Apples,Cereal,Grapes,Rice,Tomatoes,Yogurt,Chips,Eggs
Oranges,Potatoes,Tomatoes,Milk,Lettuce,Watermelon,Cheese,Eggs,Onions,Pasta,Rice,Pork,Cucumbers,Blueberries,Bread
Watermelon,Cucumbers,Oranges,Butter,Pork,Bread,Strawberries,Eggs,Juice,Potatoes,Carrots,Chicken,Chips,Beef,Milk
Oranges,Chicken,Chips,Bread,Yogurt,Beef,Milk,Carrots,Apples,Tomatoes,Cereal,Pasta,Butter,Eggs,Rice
Chicken,Bread,Eggs,Yogurt,Butter,Beef,Tomatoes,Chips,Rice,Watermelon,Strawberries,Cereal,Lettuce,Carrots,Grapes
Soda,Carrots,Apples,Cheese,Pork,Eggs,Butter,Watermelon,Coffee,Fish,Rice,Cucumbers,Cereal,Pasta,Milk
Bread,Oranges,Milk,Apples,Cucumbers,Lettuce,Beef,Butter,Cereal,Tomatoes,Chips,Bananas,Grapes,Eggs,Soda
Butter,Potatoes,Pasta,Milk,Eggs,Pork,Lettuce,Soda,Beef,Blueberries,Juice,Bread,Carrots,Fish,Cheese
Cereal,Lettuce,Chicken,Eggs,Tomatoes,Milk,Pasta,Blueberries,Butter,Juice,Cucumbers,Bread,Onions,Yogurt,Beef
Potatoes,Cereal,Strawberries,Yogurt,Butter,Milk,Watermelon,Cheese,Pork,Beef,Cucumbers,Juice,Fish,Carrots,Eggs
Fish,Tomatoes,Butter,Carrots,Milk,Onions,Grapes,Chicken,Rice,Oranges,Chips,Eggs,Watermelon,Juice,Beef
Beef,Carrots,Cereal,Soda,Pasta,Bananas,Bread,Blueberries,Watermelon,Strawberries,Cheese,Eggs,Butter,Tomatoes,Milk
Cucumbers,Lettuce,Eggs,Blueberries,Bananas,Carrots,Bread,Pork,Milk,Watermelon,Cereal,Oranges,Tomatoes,Butter,Fish
Onions,Cucumbers,Milk,Cheese,Pasta,Chips,Fish,Eggs,Beef,Soda,Lettuce,Butter,Strawberries,Apples,Bread
Eggs,Butter,Chips,Blueberries,Cereal,Potatoes,Carrots,Pasta,Apples,Watermelon,Soda,Yogurt,Beef,Cucumbers,Bread
Cheese,Pasta,Apples,Beef,Bread,Strawberries,Milk,Cucumbers,Rice,Chicken,Tomatoes,Cereal,Onions,Juice,Eggs
Strawberries,Beef,Fish,Yogurt,Butter,Milk,Eggs,Bread,Cucumbers,Grapes,Onions,Bananas,Watermelon,Carrots,Rice
Rice,Eggs,Potatoes,Chicken,Soda,Milk,Coffee,Butter,Cereal,Bread,Oranges,Tomatoes,Apples,Carrots,Cucumbers
Bananas,Eggs,Pasta,Butter,Bread,Milk,Chicken,Cereal,Juice,Carrots,Chips,Cheese,Tomatoes,Coffee,Cucumbers
Bread,Grapes,Fish,Milk,Beef,Soda,Oranges,Eggs,Chips,Juice,Pasta,Carrots,Cereal,Chicken,Potatoes
Rice,Eggs,Grapes,Cheese,Yogurt,Juice,Milk,Pork,Lettuce,Apples,Tomatoes,Beef,Butter,Cereal,Chicken
Tomatoes,Cheese,Blueberries,Strawberries,Lettuce,Rice,Milk,Pork,Chicken,Beef,Eggs,Oranges,Carrots,Onions,Butter
Cereal,Bananas,Butter,Onions,Juice,Blueberries,Beef,Bread,Grapes,Milk,Potatoes,Watermelon,Strawberries,Cucumbers,Rice
Apples,Butter,Bananas,Soda,Cereal,Eggs,Bread,Cheese,Chicken,Milk,Tomatoes,Juice,Carrots,Chips,Blueberries
Onions,Cucumbers,Butter,Bananas,Pasta,Oranges,Rice,Beef,Eggs,Lettuce,Carrots,Milk,Chicken,Cheese,Blueberries
Blueberries,Lettuce,Coffee,Milk,Soda,Tomatoes,Strawberries,Butter,Pasta,Pork,Cheese,Eggs,Bread,Yogurt,Watermelon
Watermelon,Cucumbers,Yogurt,Bread,Onions,Pasta,Blueberries,Strawberries,Rice,Fish,Chicken,Eggs,Pork,Coffee,Potatoes
Pasta,Potatoes,Bananas,Juice,Yogurt,Apples,Milk,Bread,Chicken,Cheese,Eggs,Carrots,Onions,Fish,Butter
Grapes,Blueberries,Eggs,Pasta,Oranges,Juice,Onions,Chicken,Soda,Milk,Chips,Beef,Potatoes,Bread,Cereal
Carrots,Yogurt,Blueberries,Pasta,Butter,Lettuce,Onions,Bread,Apples,Juice,Bananas,Milk,Coffee,Potatoes,Watermelon
Cheese,Coffee,Bread,Blueberries,Carrots,Cucumbers,Bananas,Strawberries,Oranges,Eggs,Onions,Butter,Juice,Lettuce,Rice
Yogurt,Chips,Cucumbers,Butter,Pasta,Cereal,Bread,Onions,Bananas,Rice,Pork,Juice,Oranges,Eggs,Watermelon
Oranges,Yogurt,Bananas,Onions,Watermelon,Lettuce,Cereal,Blueberries,Strawberries,Pork,Eggs,Butter,Milk,Beef,Cucumbers
Pork,Rice,Cucumbers,Onions,Strawberries,Yogurt,Carrots,Soda,Fish,Butter,Coffee,Tomatoes,Milk,Cereal,Oranges
Onions,Strawberries,Cereal,Fish,Beef,Soda,Cucumbers,Juice,Oranges,Bananas,Butter,Rice,Chicken,Blueberries,Cheese
Eggs,Cucumbers,Lettuce,Blueberries,Pasta,Bread,Cereal,Juice,Strawberries,Potatoes,Watermelon,Cheese,Pork,Beef,Milk
Juice,Bread,Potatoes,Coffee,Strawberries,Chicken,Cereal,Blueberries,Yogurt,Butter,Milk,Tomatoes,Bananas,Watermelon,Soda
Milk,Cheese,Grapes,Fish,Oranges,Eggs,Butter,Apples,Watermelon,Lettuce,Chips,Pork,Pasta,Cereal,Bread
Oranges,Butter,Strawberries,Juice,Yogurt,Pasta,Cucumbers,Milk,Eggs,Apples,Rice,Fish,Pork,Coffee,Soda
Pasta,Bread,Pork,Chicken,Coffee,Chips,Yogurt,Grapes,Bananas,Rice,Lettuce,Butter,Onions,Apples,Milk
Bread,Pasta,Pork,Onions,Watermelon,Potatoes,Cheese,Blueberries,Eggs,Chicken,Rice,Juice,Milk,Strawberries,Oranges
Cucumbers,Bananas,Milk,Butter,Soda,Fish,Bread,Pork,Coffee,Cereal,Lettuce,Pasta,Eggs,Blueberries,Chicken
Carrots,Yogurt,Chips,Chicken,Milk,Bread,Cereal,Potatoes,Cheese,Watermelon,Pasta,Rice,Beef,Eggs,Apples
