,Name,Team,Position,Height,Weight,College,Salary
0,Saddiq Bey,Atlanta Hawks,F,6-7,215.0,Villanova,4556983.0
1,Bogdan Bogdanovic,Atlanta Hawks,G,6-5,225.0,Fenerbahce,18700000.0
2,Kobe Bufkin,Atlanta Hawks,G,6-5,195.0,Michigan,4094244.0
3,Clint Capela,Atlanta Hawks,C,6-10,256.0,Elan Chalon,20616000.0
4,Bruno Fernando,Atlanta Hawks,F-C,6-10,240.0,Maryland,2581522.0
5,Trent Forrest,Atlanta Hawks,G,6-4,210.0,Florida State,508891.0
6,AJ Griffin,Atlanta Hawks,F,6-6,220.0,Duke,3712920.0
7,Mouhamed Gueye,Atlanta Hawks,F,6-11,210.0,Washington State,1119563.0
8,De'Andre Hunter,Atlanta Hawks,F-G,6-8,221.0,Virginia,20089286.0
9,Jalen Johnson,Atlanta Hawks,F,6-8,219.0,Duke,2925360.0
10,Seth Lundy,Atlanta Hawks,G,6-6,220.0,Penn State,559782.0
11,Garrison Mathews,Atlanta Hawks,G,6-6,215.0,Lipscomb,2000000.0
12,Wesley Matthews,Atlanta Hawks,G,6-5,220.0,Marquette,3196448.0
13,Patty Mills,Atlanta Hawks,G,6-0,180.0,St. Mary's,6802950.0
14,Dejounte Murray,Atlanta Hawks,G,6-5,180.0,Washington,18214000.0
16,Onyeka Okongwu,Atlanta Hawks,F-C,6-9,240.0,Southern California,8109063.0
17,Trae Young,Atlanta Hawks,G,6-1,164.0,Oklahoma,40064220.0
18,Dalano Banton,Boston Celtics,F,6-7,204.0,Nebraska,2019706.0
19,Oshae Brissett,Boston Celtics,F-G,6-7,210.0,Syracuse,2165000.0
20,Malcolm Brogdon,Boston Celtics,G,6-4,229.0,Virginia,22500000.0
21,Jaylen Brown,Boston Celtics,G-F,6-6,223.0,California,31830357.0
22,JD Davison,Boston Celtics,G,6-1,195.0,Alabama,559782.0
23,Blake Griffin,Boston Celtics,F,6-9,250.0,Oklahoma,0.0
24,Sam Hauser,Boston Celtics,F,6-7,217.0,Virginia,1927896.0
25,Al Horford,Boston Celtics,C-F,6-9,240.0,Florida,10000000.0
26,Mfiondu Kabengele,Boston Celtics,C,6-10,250.0,Florida State,0.0
27,Luke Kornet,Boston Celtics,C-F,7-2,250.0,Vanderbilt,2413304.0
28,Svi Mykhailiuk,Boston Celtics,G-F,6-7,205.0,Kansas,0.0
29,Kristaps Porzingis,Boston Celtics,F-C,7-3,240.0,Cajasol Sevilla,36016200.0
30,Payton Pritchard,Boston Celtics,G,6-1,195.0,Oregon,4037277.0
31,Jay Scrubb,Boston Celtics,G,6-5,220.0,John A. Logan,559782.0
32,Jayson Tatum,Boston Celtics,F-G,6-8,210.0,Duke,32600060.0
33,Jordan Walsh,Boston Celtics,G,6-7,205.0,Arkansas,1119563.0
34,Derrick White,Boston Celtics,G,6-4,190.0,Colorado,18357143.0
35,Robert Williams III,Boston Celtics,C-F,6-9,237.0,Texas A&M,0.0
36,Darius Bazley,Brooklyn Nets,F,6-9,216.0,Princeton HS (OH),2165000.0
37,Mikal Bridges,Brooklyn Nets,G-F,6-6,209.0,Villanova,21700000.0
38,Armoni Brooks,Brooklyn Nets,G,6-3,195.0,Houston,559782.0
39,Nic Claxton,Brooklyn Nets,C,6-11,215.0,Georgia,0.0
40,Noah Clowney,Brooklyn Nets,F,6-10,210.0,Alabama,3089460.0
41,Spencer Dinwiddie,Brooklyn Nets,G,6-5,215.0,Colorado,20357143.0
42,Dorian Finney-Smith,Brooklyn Nets,F,6-7,220.0,Florida,13932008.0
43,Cameron Johnson,Brooklyn Nets,F,6-8,210.0,North Carolina,25679348.0
44,Royce O'Neale,Brooklyn Nets,F,6-6,226.0,Baylor,9500000.0
45,Day'Ron Sharpe,Brooklyn Nets,C,6-9,265.0,North Carolina,2210040.0
46,Ben Simmons,Brooklyn Nets,G-F,6-10,240.0,Louisiana State,37893408.0
47,Dennis Smith Jr.,Brooklyn Nets,G,6-2,205.0,North Carolina State,0.0
48,Cam Thomas,Brooklyn Nets,G,6-3,210.0,Louisiana State,2240160.0
49,Lonnie Walker IV,Brooklyn Nets,G-F,6-4,204.0,Miami,0.0
50,Trendon Watford,Brooklyn Nets,F,6-8,237.0,Louisiana State,2019706.0
51,Dariq Whitehead,Brooklyn Nets,F,6-7,220.0,Duke,2966040.0
52,Jalen Wilson,Brooklyn Nets,F,6-8,220.0,Kansas,559782.0
53,Amari Bailey,Charlotte Hornets,G,6-5,185.0,UCLA,559782.0
54,LaMelo Ball,Charlotte Hornets,G,6-7,180.0,Illawarra,10900635.0
55,Leaky Black,Charlotte Hornets,F,6-9,209.0,North Carolina,559782.0
56,James Bouknight,Charlotte Hornets,G,6-4,190.0,Connecticut,4570080.0
57,Miles Bridges,Charlotte Hornets,F,6-7,225.0,Michigan State,7921300.0
58,Gordon Hayward,Charlotte Hornets,F,6-7,225.0,Butler,31500000.0
59,Kai Jones,Charlotte Hornets,C-F,6-11,221.0,Texas,3047880.0
60,Theo Maledon,Charlotte Hornets,G,6-5,175.0,Asvel,0.0
61,Cody Martin,Charlotte Hornets,F,6-6,205.0,Nevada,7560000.0
62,Bryce McGowens,Charlotte Hornets,G,6-6,175.0,Nebraska,1719864.0
63,Brandon Miller,Charlotte Hornets,F,6-9,200.0,Alabama,10880364.0
64,James Nnaji,Charlotte Hornets,F,6-11,250.0,FC Barcelona,0.0
65,Frank Ntilikina,Charlotte Hornets,G,6-4,200.0,Strasbourg IG,2528233.0
66,Kelly Oubre Jr.,Charlotte Hornets,F-G,6-6,203.0,Kansas,0.0
67,Nick Richards,Charlotte Hornets,C,7-0,245.0,Kentucky,0.0
68,Terry Rozier,Charlotte Hornets,G,6-1,190.0,Louisville,23205221.0
69,Nick Smith Jr.,Charlotte Hornets,G,6-5,185.0,Arkansas,0.0
70,JT Thor,Charlotte Hornets,F,6-9,203.0,Auburn,1836096.0
71,P.J. Washington,Charlotte Hornets,F,6-7,230.0,Kentucky,0.0
72,Mark Williams,Charlotte Hornets,C,7-0,240.0,Duke,3908160.0
73,Lonzo Ball,Chicago Bulls,G,6-6,190.0,UCLA,20465117.0
74,Onuralp Bitim,Chicago Bulls,F,6-6,215.0,Unknown,559782.0
75,Jevon Carter,Chicago Bulls,G,6-1,200.0,West Virginia,6190476.0
76,Alex Caruso,Chicago Bulls,G,6-5,186.0,Texas A&M,9460000.0
77,Torrey Craig,Chicago Bulls,F,6-7,221.0,South Carolina Upstate,2528233.0
78,DeMar DeRozan,Chicago Bulls,G-F,6-6,220.0,Southern California,28600000.0
79,Ayo Dosunmu,Chicago Bulls,G,6-5,200.0,Illinois,6481482.0
80,Andre Drummond,Chicago Bulls,C,6-11,279.0,Connecticut,3360000.0
81,Javonte Green,Chicago Bulls,G,6-5,205.0,Radford,0.0
82,Carlik Jones,Chicago Bulls,G,6-0,174.0,Louisville,1927896.0
83,Zach LaVine,Chicago Bulls,G,6-5,200.0,UCLA,40064220.0
84,Justin Lewis,Chicago Bulls,F,6-7,245.0,Marquette,0.0
85,Julian Phillips,Chicago Bulls,F,6-8,198.0,Tennessee,1600000.0
86,Adama Sanogo,Chicago Bulls,F,6-9,245.0,Connecticut,559782.0
87,Terry Taylor,Chicago Bulls,F,6-4,230.0,Austin Peay,2019706.0
88,Dalen Terry,Chicago Bulls,F,6-7,195.0,Arizona,3350760.0
89,Nikola Vucevic,Chicago Bulls,C,6-10,260.0,Southern California,18518519.0
90,Coby White,Chicago Bulls,G,6-5,195.0,North Carolina,11111111.0
91,Patrick Williams,Chicago Bulls,F,6-7,215.0,Florida State,9835881.0
92,Jarrett Allen,Cleveland Cavaliers,C,6-9,243.0,Texas,20000000.0
93,Emoni Bates,Cleveland Cavaliers,F,6-9,170.0,Eastern Michigan,559782.0
94,Mamadi Diakite,Cleveland Cavaliers,F,6-9,228.0,Virginia,0.0
95,Darius Garland,Cleveland Cavaliers,G,6-1,192.0,Vanderbilt,34005250.0
96,Danny Green,Cleveland Cavaliers,G,6-6,215.0,North Carolina,0.0
97,Ty Jerome,Cleveland Cavaliers,G-F,6-5,195.0,Virginia,2439025.0
98,Damian Jones,Cleveland Cavaliers,C,6-11,245.0,Vanderbilt,2586665.0
