Date,Demand,Easter,Thanksgiving,Christmas,Temperature,Marketing
1/1/2015,720.0008852,0,0,0,3.68,41.305
1/2/2015,581.2767734,0,0,0,4.73,131.574
1/3/2015,754.117039,0,0,0,7.23,162.7
1/4/2015,622.2527745,0,0,0,10.96,160.281
1/5/2015,785.3733189,0,0,0,6.92,51.077
1/6/2015,584.7829833,0,0,0,-3.54,99.972
1/7/2015,698.9657049,0,0,0,-3.44,192.427
1/8/2015,767.2213155,0,0,0,-4.55,85.599
1/9/2015,608.6643405,0,0,0,1.08,131.77
1/10/2015,679.1952906,0,0,0,-3.83,156.329
1/11/2015,607.8410374,0,0,0,2.59,129.941
1/12/2015,755.1488924,0,0,0,3.89,47.443
1/13/2015,718.3111744,0,0,0,2.14,201.476
1/14/2015,794.0525111,0,0,0,0.65,112.44
1/15/2015,754.0854915,0,0,0,0.4,137.912
1/16/2015,621.0794142,0,0,0,3.63,185.799
1/17/2015,655.9090187,0,0,0,0.44,167.609
1/18/2015,614.5541876,0,0,0,7.33,123.401
1/19/2015,762.4900553,0,0,0,4.65,170.775
1/20/2015,637.3515304,0,0,0,3,110.11
1/21/2015,755.1666631,0,0,0,0.94,119.268
1/22/2015,663.6565428,0,0,0,2.73,166.149
1/23/2015,646.1703569,0,0,0,2.24,159.368
1/24/2015,752.6256221,0,0,0,2.11,121.699
1/25/2015,689.730406,0,0,0,3.46,136.874
1/26/2015,749.957372,0,0,0,-1.17,140.828
1/27/2015,744.42756,0,0,0,-2.76,150.584
1/28/2015,834.3233366,0,0,0,-1.77,141.047
1/29/2015,673.2902962,0,0,0,1.78,63.974
1/30/2015,589.9964829,0,0,0,1.77,112.562
1/31/2015,659.9775497,0,0,0,-4.94,59.618
2/1/2015,672.8674359,0,0,0,1.2,53.949
2/2/2015,693.9819491,0,0,0,3.97,181.483
2/3/2015,695.9173738,0,0,0,-4.13,69.147
2/4/2015,662.1060366,0,0,0,3.4,192.367
