Date,Demand,Easter,Thanksgiving,Christmas,Temperature,Marketing
1/1/2021,,0,0,0,5,154.221
1/2/2021,,0,0,0,11.11,264.805
1/3/2021,,0,0,0,3.89,115.499
1/4/2021,,0,0,0,6.67,124.65
1/5/2021,,0,0,0,5.56,77.968
1/6/2021,,0,0,0,5.56,234.2
1/7/2021,,0,0,0,6.11,142.041
1/8/2021,,0,0,0,3.89,252.094
1/9/2021,,0,0,0,2.78,100.483
1/10/2021,,0,0,0,6.11,71.6
1/11/2021,,0,0,0,3.33,122.091
1/12/2021,,0,0,0,7.22,273.749
1/13/2021,,0,0,0,6.67,42.638
1/14/2021,,0,0,0,10,287.928
1/15/2021,,0,0,0,8.33,127.72
1/16/2021,,0,0,0,8.89,170.571
1/17/2021,,0,0,0,7.78,172.633
1/18/2021,,0,0,0,7.78,171.654
1/19/2021,,0,0,0,6.11,57.343
1/20/2021,,0,0,0,5,26.764
1/21/2021,,0,0,0,7.22,154.601
1/22/2021,,0,0,0,7.78,25.003
1/23/2021,,0,0,0,2.78,75.534
1/24/2021,,0,0,0,1.11,180.244
1/25/2021,,0,0,0,3.89,44.421
1/26/2021,,0,0,0,2.22,170.078
1/27/2021,,0,0,0,3.33,39.664
1/28/2021,,0,0,0,1.67,195.314
1/29/2021,,0,0,0,-2.78,235.894
1/30/2021,,0,0,0,1.11,152.752
1/31/2021,,0,0,0,4.44,158.62
