date,value
2023-01-01,100.1524747
2023-01-02,99.82954232
2023-01-03,101.0797916
2023-01-04,101.5300361
2023-01-05,100.4229299
2023-01-06,101.1018814
2023-01-07,102.1837562
2023-01-08,102.3139674
2023-01-09,102.8259028
2023-01-10,102.7552523
2023-01-11,104.0119783
2023-01-12,104.3230075
2023-01-13,104.3162354
2023-01-14,105.2382631
2023-01-15,105.2588108
2023-01-16,104.9288039
2023-01-17,105.9445843
2023-01-18,105.6119883
2023-01-19,106.9597338
2023-01-20,106.8370154
2023-01-21,107.138636
2023-01-22,107.2472818
2023-01-23,108.6518199
2023-01-24,108.2839552
2023-01-25,108.5142921
2023-01-26,108.9355856
2023-01-27,109.8013531
2023-01-28,110.0937655
2023-01-29,110.5052187
2023-01-30,110.9020167
2023-01-31,112.2462481
2023-02-01,111.2131553
2023-02-02,111.5433638
2023-02-03,111.7651358
2023-02-04,112.9609651
2023-02-05,113.6474567
2023-02-06,113.3386752
2023-02-07,113.3231312
2023-02-08,113.7286754
2023-02-09,114.9715643
2023-02-10,115.4274307
2023-02-11,115.7155954
2023-02-12,115.4209622
2023-02-13,116.3459675
2023-02-14,116.6857871
2023-02-15,117.1539223
2023-02-16,117.9482814
2023-02-17,117.9783294
2023-02-18,118.661089
2023-02-19,118.7129809
2023-02-20,119.2605083
2023-02-21,119.8828456
2023-02-22,119.0527471
2023-02-23,120.1508408
2023-02-24,120.4805516
2023-02-25,120.8004132
2023-02-26,121.4438812
2023-02-27,122.9523129
2023-02-28,121.934816
2023-03-01,123.4888716
2023-03-02,122.2892564
2023-03-03,123.5471674
2023-03-04,124.2884514
2023-03-05,124.9878235
2023-03-06,125.5036989
2023-03-07,125.994685
2023-03-08,125.7157306
2023-03-09,126.0840827
2023-03-10,127.3634149
2023-03-11,127.1404045
2023-03-12,126.8955113
2023-03-13,127.4303431
2023-03-14,128.0131446
2023-03-15,129.3743197
2023-03-16,129.5970627
2023-03-17,130.4075187
2023-03-18,130.1346269
2023-03-19,130.9731522
2023-03-20,131.7388429
2023-03-21,131.5833781
2023-03-22,132.5506985
2023-03-23,132.2726848
2023-03-24,132.9341424
2023-03-25,133.3869503
2023-03-26,133.3100589
2023-03-27,134.9069977
2023-03-28,134.7333514
2023-03-29,135.5310847
2023-03-30,136.3242411
2023-03-31,136.7779743
2023-04-01,137.4069752
2023-04-02,137.3622615
2023-04-03,137.6193452
2023-04-04,138.3384606
2023-04-05,137.7112503
2023-04-06,138.3593246
2023-04-07,138.9299788
2023-04-08,139.6432854
2023-04-09,141.1143005
2023-04-10,140.6870369
2023-04-11,141.5521639
2023-04-12,143.2439531
2023-04-13,142.5603716
2023-04-14,143.843853
2023-04-15,143.1462135
2023-04-16,144.1711838
2023-04-17,144.1381676
2023-04-18,145.0852021
2023-04-19,146.4540557
2023-04-20,145.0919258
2023-04-21,147.1820303
2023-04-22,147.5519875
2023-04-23,147.4538186
2023-04-24,147.3409638
2023-04-25,148.9832984
2023-04-26,149.0556888
2023-04-27,150.1484874
2023-04-28,150.5152623
2023-04-29,152.2399679
2023-04-30,151.3728849
2023-05-01,151.3082897
2023-05-02,152.7537525
2023-05-03,153.3196041
2023-05-04,154.7350814
2023-05-05,154.8703027
2023-05-06,155.0411705
2023-05-07,156.4469143
2023-05-08,154.9264218
2023-05-09,155.896021
2023-05-10,156.2174614
2023-05-11,157.1855163
2023-05-12,156.9592547
2023-05-13,159.1010162
2023-05-14,158.9749024
2023-05-15,158.538476
2023-05-16,159.4558912
2023-05-17,161.0808953
2023-05-18,162.0692392
2023-05-19,163.5813725
2023-05-20,164.9083895
2023-05-21,163.4303211
2023-05-22,162.8551052
2023-05-23,162.494187
2023-05-24,165.0312594
2023-05-25,164.7164537
2023-05-26,165.6218771
2023-05-27,166.038142
2023-05-28,167.0123818
2023-05-29,168.6112378
2023-05-30,168.4341593
2023-05-31,168.7570995
2023-06-01,168.6067693
2023-06-02,168.6571469
2023-06-03,170.2560878
2023-06-04,171.221873
2023-06-05,173.3933425
2023-06-06,172.5812745
2023-06-07,173.9250565
2023-06-08,173.2452482
2023-06-09,173.2566218
