date,value
2023-01-01,105.152
2023-01-02,107.639
2023-01-03,111.344
2023-01-04,113.783
2023-01-05,114.119
2023-01-06,115.592
2023-01-07,116.778
2023-01-08,116.337
2023-01-09,115.593
2023-01-10,113.652
2023-01-11,112.44
2023-01-12,109.853
2023-01-13,106.62
2023-01-14,104.065
2023-01-15,100.582
2023-01-16,96.844
2023-01-17,94.602
2023-01-18,91.433
2023-01-19,90.312
2023-01-20,88.371
2023-01-21,87.46
2023-01-22,87.046
2023-01-23,88.523
2023-01-24,89.035
2023-01-25,90.728
2023-01-26,93.152
2023-01-27,96.439
2023-01-28,99.541
2023-01-29,102.959
2023-01-30,106.43
2023-01-31,110.67
2023-02-01,112.562
2023-02-02,115.326
2023-02-03,117.526
2023-02-04,120.029
2023-02-05,121.441
2023-02-06,121.298
2023-02-07,120.723
2023-02-08,119.844
2023-02-09,119.066
2023-02-10,117.041
2023-02-11,114.411
2023-02-12,110.937
2023-02-13,108.307
2023-02-14,105.104
2023-02-15,102.087
2023-02-16,99.564
2023-02-17,96.742
2023-02-18,94.937
2023-02-19,93.162
2023-02-20,92.437
2023-02-21,92.449
2023-02-22,91.937
2023-02-23,93.713
2023-02-24,95.475
2023-02-25,97.783
2023-02-26,100.817
2023-02-27,104.895
2023-02-28,107.116
2023-03-01,111.502
2023-03-02,113.569
2023-03-03,117.416
2023-03-04,120.489
2023-03-05,123.058
2023-03-06,124.916
2023-03-07,126.12
2023-03-08,126.035
2023-03-09,125.773
2023-03-10,125.554
2023-03-11,123.521
2023-03-12,120.915
2023-03-13,118.464
2023-03-14,115.708
2023-03-15,113.345
2023-03-16,110.029
2023-03-17,107.243
2023-03-18,103.843
2023-03-19,101.644
2023-03-20,99.853
2023-03-21,97.923
2023-03-22,97.478
2023-03-23,96.767
2023-03-24,97.456
2023-03-25,98.662
2023-03-26,100.099
2023-03-27,103.341
2023-03-28,105.722
2023-03-29,109.163
2023-03-30,112.807
2023-03-31,116.266
2023-04-01,119.775
2023-04-02,122.574
2023-04-03,125.243
2023-04-04,127.78
2023-04-05,128.779
2023-04-06,130.07
2023-04-07,130.626
2023-04-08,130.591
2023-04-09,130.418
2023-04-10,128.264
2023-04-11,126.472
2023-04-12,124.796
2023-04-13,121.113
2023-04-14,118.596
2023-04-15,114.63
2023-04-16,111.942
2023-04-17,108.735
2023-04-18,106.557
2023-04-19,105.13
2023-04-20,102.392
2023-04-21,102.652
2023-04-22,102.41
2023-04-23,102.541
2023-04-24,103.338
2023-04-25,105.949
2023-04-26,108.057
2023-04-27,111.305
2023-04-28,114.408
2023-04-29,118.615
2023-04-30,121.179
2023-05-01,124.194
2023-05-02,127.984
2023-05-03,130.844
2023-05-04,133.787
2023-05-05,135.336
2023-05-06,136.275
2023-05-07,137.33
2023-05-08,135.814
2023-05-09,135.225
2023-05-10,133.589
2023-05-11,131.809
2023-05-12,128.809
2023-05-13,126.967
2023-05-14,123.483
2023-05-15,119.737
2023-05-16,116.92
2023-05-17,114.758
2023-05-18,112.545
2023-05-19,111.116
2023-05-20,110.128
2023-05-21,108.065
2023-05-22,107.228
2023-05-23,107.212
2023-05-24,109.643
2023-05-25,110.963
2023-05-26,113.578
2023-05-27,116.355
2023-05-28,119.807
2023-05-29,123.836
2023-05-30,126.874
2023-05-31,130.132
2023-06-01,132.891
2023-06-02,135.419
2023-06-03,138.394
2023-06-04,140.43
2023-06-05,142.527
2023-06-06,142.218
2023-06-07,142.464
2023-06-08,140.867
2023-06-09,139.04
2023-06-10,137.11
2023-06-11,134.732
2023-06-12,133.32
2023-06-13,128.798
2023-06-14,126.514
2023-06-15,122.607
2023-06-16,120.707
2023-06-17,117.966
2023-06-18,115.695
2023-06-19,114.315
2023-06-20,113.204
2023-06-21,113.627
2023-06-22,113.741
2023-06-23,114.595
2023-06-24,116.438
2023-06-25,119.588
2023-06-26,123.175
2023-06-27,125.691
2023-06-28,128.985
2023-06-29,132.689
2023-06-30,136.623
2023-07-01,139.286
2023-07-02,141.826
2023-07-03,144.975
2023-07-04,146.465
2023-07-05,148.213
2023-07-06,148.056
2023-07-07,147.18
2023-07-08,146.261
2023-07-09,146.295
2023-07-10,144.3
2023-07-11,140.859
2023-07-12,137.927
2023-07-13,135.811
2023-07-14,131.422
2023-07-15,128.501
2023-07-16,126.461
2023-07-17,123.484
2023-07-18,121.687
2023-07-19,120.179
2023-07-20,119.634
2023-07-21,120.051
2023-07-22,119.966
2023-07-23,121.491
2023-07-24,122.021
2023-07-25,125.456
2023-07-26,127.952
2023-07-27,130.998
2023-07-28,134.611
2023-07-29,138.393
2023-07-30,142.452
2023-07-31,144.545
2023-08-01,148.089
2023-08-02,150.231
2023-08-03,152.146
2023-08-04,154.016
2023-08-05,154.311
2023-08-06,154.548
2023-08-07,152.964
2023-08-08,151.227
2023-08-09,149.441
2023-08-10,147.194
2023-08-11,144.34
2023-08-12,140.68
2023-08-13,138.172
2023-08-14,135.223
2023-08-15,133.568
2023-08-16,130.799
2023-08-17,127.451
2023-08-18,126.315
2023-08-19,124.94
2023-08-20,125.268
2023-08-21,126.304
2023-08-22,128.006
2023-08-23,128.926
2023-08-24,131.407
2023-08-25,133.563
2023-08-26,137.798
2023-08-27,140.801
2023-08-28,144.587
2023-08-29,147.856
2023-08-30,151.472
2023-08-31,153.514
2023-09-01,156.068
2023-09-02,159.713
2023-09-03,159.219
2023-09-04,159.851
2023-09-05,161.165
2023-09-06,160.871
2023-09-07,157.375
2023-09-08,155.765
2023-09-09,153.649
2023-09-10,151.531
2023-09-11,147.154
2023-09-12,144.438
2023-09-13,141.941
2023-09-14,138.98
2023-09-15,136.136
2023-09-16,134.284
2023-09-17,132.254
2023-09-18,132.045
2023-09-19,131.932
2023-09-20,132.774
2023-09-21,133.648
2023-09-22,136.058
2023-09-23,138.782
2023-09-24,141.265
2023-09-25,144.616
2023-09-26,147.929
2023-09-27,151.432
2023-09-28,154.524
2023-09-29,158.277
2023-09-30,160.955
2023-10-01,164.469
2023-10-02,166.066
2023-10-03,166.696
2023-10-04,166.668
2023-10-05,166.35
2023-10-06,166.684
2023-10-07,164.773
2023-10-08,162.879
2023-10-09,159.306
2023-10-10,157.84
2023-10-11,154.594
2023-10-12,150.736
2023-10-13,148.057
2023-10-14,145.645
2023-10-15,143.11
2023-10-16,140.976
2023-10-17,139.67
2023-10-18,138.83
2023-10-19,138.943
2023-10-20,140.205
2023-10-21,139.463
2023-10-22,142.536
2023-10-23,145.206
