Item,Price,Store,Sex
Bag,128.31,Store 5,Female
Shoe,42.14,Store 5,Male
Hat,190.88,Store 3,Female
Shoe,19.1,Store 5,Male
Bag,31.58,Store 5,Female
Hat,138.61,Store 5,Male
Hat,52.07,Store 1,Female
Bag,71.59,Store 4,Female
Hat,33.03,Store 4,Male
Hat,121.02,Store 1,Female
Shoe,139.75,Store 5,Male
Shirt,39.64,Store 3,Female
Shoe,150.66,Store 4,Male
Hat,104.47,Store 3,Female
Shoe,121.26,Store 3,Female
Pants,21.6,Store 2,Female
Bag,127.26,Store 1,Female
Shirt,134.77,Store 1,Male
Shirt,173.19,Store 1,Male
Shirt,118.17,Store 1,Female
Hat,181.86,Store 3,Female
Shoe,168.37,Store 1,Male
Bag,117.83,Store 5,Female
Shirt,170.92,Store 4,Female
Hat,14.95,Store 2,Female
Pants,165.34,Store 2,Female
Shirt,192.65,Store 1,Male
Shirt,49.24,Store 1,Female
Shirt,118.31,Store 2,Male
Bag,191.35,Store 4,Male
Shoe,55.12,Store 5,Female
Pants,99.99,Store 5,Female
Shirt,24.5,Store 1,Male
Bag,60.17,Store 3,Male
Shoe,138.4,Store 3,Female
Pants,23.09,Store 3,Female
Shoe,163.23,Store 2,Male
Pants,144.04,Store 1,Female
Shirt,153.76,Store 2,Female
Hat,13.43,Store 3,Female
Pants,26.92,Store 5,Male
Pants,120.11,Store 5,Male
Hat,110.19,Store 5,Male
Shirt,194.34,Store 2,Male
Shirt,102.33,Store 4,Female
Shoe,191.85,Store 1,Female
Bag,34.33,Store 5,Female
Hat,80.86,Store 4,Male
Shoe,177.44,Store 5,Female
Shirt,174.88,Store 3,Female
Bag,194.53,Store 2,Female
Shirt,176.16,Store 3,Female
Pants,29.51,Store 4,Male
Pants,146.19,Store 3,Male
Shoe,60.79,Store 5,Female
Hat,55.84,Store 5,Male
Pants,92.28,Store 3,Male
Shoe,163.07,Store 1,Male
Bag,16.33,Store 5,Male
Shirt,59.53,Store 5,Female
Pants,62.08,Store 5,Male
Hat,79.71,Store 5,Female
Shoe,139.36,Store 3,Female
Hat,141.45,Store 4,Female
Hat,14.84,Store 4,Female
Shirt,122.07,Store 5,Male
Pants,17.93,Store 4,Female
Pants,53.48,Store 5,Male
Hat,185.8,Store 4,Male
Bag,142.68,Store 4,Male
Bag,98.36,Store 4,Male
Hat,102.81,Store 5,Male
Shoe,129.83,Store 5,Female
Shoe,165.09,Store 1,Female
Hat,54.53,Store 5,Male
Hat,156.75,Store 3,Male
Hat,115.57,Store 2,Male
Bag,99.11,Store 4,Male
Shirt,55.87,Store 1,Male
Hat,15.12,Store 1,Female
Shoe,45.54,Store 3,Male
Pants,10.78,Store 2,Male
Shoe,57.41,Store 4,Female
Shirt,135.96,Store 5,Female
Shirt,163.04,Store 4,Male
Hat,195.6,Store 5,Female
Hat,189.96,Store 3,Male
Shoe,183.17,Store 3,Female
Bag,85.09,Store 2,Female
Shirt,75.54,Store 2,Female
Shirt,133.27,Store 2,Female
Shirt,170.73,Store 5,Female
Bag,78.55,Store 4,Female
Pants,193.02,Store 5,Male
Hat,97.98,Store 5,Male
Hat,145.31,Store 4,Male
Pants,132.09,Store 3,Male
Bag,23.43,Store 1,Female
Shoe,13.27,Store 3,Female
Pants,51.37,Store 2,Female
