Date,Cumulative_Confirmed_Positive,Cumulative_Recovery,Cumulative_Deaths,Daily_Confirmed_Cases,Daily_Recovery,Daily_Deaths,Doubling
3/12/2020,0,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0,0
3/14/2020,0,0,0,0,0,0,0
3/15/2020,1,0,0,1,0,0,1
3/16/2020,1,0,0,0,0,0,0
3/17/2020,1,0,0,0,0,0,0
3/18/2020,1,0,0,0,0,0,0
3/19/2020,1,0,0,0,0,0,0
3/20/2020,1,0,0,0,0,0,0
3/21/2020,1,0,0,0,0,0,0
3/22/2020,1,0,0,0,0,0,0
3/23/2020,3,0,0,2,0,0,1
3/24/2020,3,0,0,0,0,0,0
3/25/2020,3,0,0,0,0,0,0
3/26/2020,4,0,0,1,0,0,0
3/27/2020,4,0,0,0,0,0,0
3/28/2020,5,0,0,1,0,0,0
3/29/2020,9,0,0,4,0,0,1
3/30/2020,9,0,0,0,0,0,0
3/31/2020,9,0,0,0,0,0,0
4/1/2020,9,0,0,0,0,0,0
4/2/2020,11,0,0,2,0,0,0
4/3/2020,11,0,0,0,0,0,0
4/4/2020,11,0,1,0,0,1,0
4/5/2020,13,0,1,2,0,0,0
4/6/2020,15,0,3,2,0,2,0
4/7/2020,18,0,3,3,0,0,1
4/8/2020,19,1,3,1,1,0,0
4/9/2020,20,1,4,1,0,1,0
4/10/2020,21,3,4,1,2,0,0
4/11/2020,23,3,5,2,0,1,0
4/12/2020,25,3,5,2,0,0,0
4/13/2020,32,3,5,7,0,0,0
4/14/2020,36,3,5,4,0,0,1
4/15/2020,38,3,6,2,0,1,0
4/16/2020,41,3,6,3,0,0,0
4/17/2020,48,3,6,7,0,0,0
4/18/2020,48,3,6,0,0,0,0
4/19/2020,48,3,6,0,0,0,0
4/20/2020,49,4,6,1,1,0,0
4/21/2020,49,4,6,0,0,0,0
4/22/2020,49,4,6,0,0,0,0
4/23/2020,53,4,7,4,0,1,0
4/24/2020,53,4,7,0,0,0,0
4/25/2020,53,6,7,0,2,0,0
4/26/2020,53,6,7,0,0,0,0
4/27/2020,53,6,7,0,0,0,0
4/28/2020,62,6,7,9,0,0,0
