Preferred Lifestyle,Living Space,Time Availability of Owner,Experience of Owner,Care Capability of Owner,Desired Closeness of an Adopter,Preffered Breed of Cat,Preffered Breed of Dogs
Low activity lifestyle,Just me,Limited Time at Home,Beginner,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Persian,Labrador Retriever
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Persian,German Shepherd
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Puspin,Shih Tzu
Very Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Ragdoll,Shih Tzu
Very Active Lifestyle,Me with family and other pets,Sometimes Home,Beginner,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Maine Coon,Labrador Retriever
Very Active Lifestyle,Me with family and other pets,Always home,Beginner,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Puspin,Labrador Retriever
Very Active Lifestyle,Me and other pets,Sometimes Home,Intermediate,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Maine Coon,German Shepherd
Moderately Active Lifestyle,Me with family and other pets,Limited Time at Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Puspin,Labrador Retriever
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Beginner,"Can handle basic care ,prefer minimal grooming",just enjoys an independent companion,Puspin,Siberian Husky
Moderately Active Lifestyle,Me with family and other pets,Always home,Expert,"Moderate Care  ,comfortable with regular brushing and baths",seek a very affectionate always by my side companion,Persian,Labrador Retriever
Moderately Active Lifestyle,Me with family and other pets,Limited Time at Home,Intermediate,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Siamese,Shih Tzu
Low activity lifestyle,Just me,Limited Time at Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Ragdoll,Toy Poodle
Very Active Lifestyle,Me with family and other pets,Always home,Expert,"High care, Ready for hands-on grooming and specialized care",wants a balanced bond,Maine Coon,German Shepherd
Very Active Lifestyle,Me with family and other pets,Always home,Expert,"High care, Ready for hands-on grooming and specialized care",seek a very affectionate always by my side companion,Puspin,Chow Chow
Very Active Lifestyle,Me with family,Always home,Expert,"Moderate Care  ,comfortable with regular brushing and baths",seek a very affectionate always by my side companion,Maine Coon,Siberian Husky
Moderately Active Lifestyle,Me and other pets,Sometimes Home,Expert,"High care, Ready for hands-on grooming and specialized care",seek a very affectionate always by my side companion,Siamese,Shih Tzu
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Beginner,"Can handle basic care ,prefer minimal grooming",just enjoys an independent companion,Siamese,German Shepherd
Low activity lifestyle,Me and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,British Shorthair,Shih Tzu
Very Active Lifestyle,Me with family and other pets,Always home,Expert,"High care, Ready for hands-on grooming and specialized care",seek a very affectionate always by my side companion,Persian,Shih Tzu
Moderately Active Lifestyle,Me with family and other pets,Always home,Beginner,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Puspin,Pug
Moderately Active Lifestyle,Me with family and other pets,Always home,Expert,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Puspin,Shih Tzu
Moderately Active Lifestyle,Me with family,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Maine Coon,Toy Poodle
Moderately Active Lifestyle,Me with family and other pets,Always home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Siamese,Labrador Retriever
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",just enjoys an independent companion,Persian,Chow Chow
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,British Shorthair,Chow Chow
Moderately Active Lifestyle,Me with family and other pets,Limited Time at Home,Intermediate,"High care, Ready for hands-on grooming and specialized care",wants a balanced bond,Persian,Labrador Retriever
Low activity lifestyle,Me and other pets,Always home,Intermediate,"High care, Ready for hands-on grooming and specialized care",seek a very affectionate always by my side companion,Siamese,Siberian Husky
Low activity lifestyle,Me and other pets,Sometimes Home,Beginner,"Can handle basic care ,prefer minimal grooming",just enjoys an independent companion,Siamese,Siberian Husky
Moderately Active Lifestyle,Me and other pets,Limited Time at Home,Beginner,"Moderate Care  ,comfortable with regular brushing and baths",just enjoys an independent companion,Ragdoll,Labrador Retriever
Moderately Active Lifestyle,Me with family,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,British Shorthair,Siberian Husky
Moderately Active Lifestyle,Me with family and other pets,Always home,Intermediate,"High care, Ready for hands-on grooming and specialized care",wants a balanced bond,Persian,Aspin
Low activity lifestyle,Me and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",just enjoys an independent companion,Ragdoll,Toy Poodle
Very Active Lifestyle,Me with family and other pets,Always home,Expert,"Moderate Care  ,comfortable with regular brushing and baths",seek a very affectionate always by my side companion,Ragdoll,Labrador Retriever
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Expert,"High care, Ready for hands-on grooming and specialized care",wants a balanced bond,Siamese,Labrador Retriever
Very Active Lifestyle,Me with family and other pets,Always home,Expert,"High care, Ready for hands-on grooming and specialized care",seek a very affectionate always by my side companion,Maine Coon,Labrador Retriever
Moderately Active Lifestyle,Me with family,Sometimes Home,Expert,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Maine Coon,Chow Chow
Moderately Active Lifestyle,Me with family,Sometimes Home,Intermediate,"Can handle basic care ,prefer minimal grooming",just enjoys an independent companion,Persian,Toy Poodle
Moderately Active Lifestyle,Me with family and other pets,Always home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,British Shorthair,Chow Chow
Moderately Active Lifestyle,Me with family,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",just enjoys an independent companion,Puspin,Siberian Husky
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Persian,Aspin
Moderately Active Lifestyle,Me with family and other pets,Sometimes Home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,British Shorthair,Toy Poodle
Moderately Active Lifestyle,Me with family and other pets,Always home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",wants a balanced bond,Persian,Chow Chow
Moderately Active Lifestyle,Me with family and other pets,Always home,Intermediate,"Moderate Care  ,comfortable with regular brushing and baths",seek a very affectionate always by my side companion,Maine Coon,Aspin
Moderately Active Lifestyle,Me with family,Sometimes Home,Intermediate,"Can handle basic care ,prefer minimal grooming",wants a balanced bond,Siamese,Labrador Retriever
