EC Capacity, Scenario 1 , Scenario 2 , Scenario 3 , Scenario 4 , Scenario 5 , Scenario 6 , Scenario 7 , Scenario 8 
500,5348566,5356771,5416048,5341852,5172817,5614372,5121791,5037895
800,5718638,5513680,5889706,5570846,5548742,5679065,5869382,5811795
1100,5509645,5669799,5772176,5992792,5731064,6117718,5979780,6231235
1400,6059844,6327230,6218640,6310579,6400837,6369340,6454680,6414290
1700,6059844,6904744,6218640,6611647,6736410,6568323,6947642,6788135
2000,6522919,6904744,6983077,6611647,6754818,6595832,6600923,6830976
2300,6522919,6904744,6983077,7527030,8169946,6503779,6567599,6675920
2600,6522919,8328494,6983077,7527030,8169946,8210878,6567599,8150763
2900,6522919,8328494,8507759,7527030,8169946,8210878,8885128,8150763
3200,6522919,8328494,8507759,8971627,9150454,8210878,8885128,8866448
3500,6522919,8328494,8507759,8971627,9150454,8881646,8885128,8866448
